,participant,condition_off,expName,test_offline,block_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,accuracy,Partz_no_partm.rt,security_1_7.keys,n_lang,n_lang_used,partiture,tendence_mix_lan,music_use,bilingual,ability_learn_l2,music_exp,BMRQ_score,age,sex,hand,group,education_level,mus_exp_age,info_index,sec_rate_merged
0, s154,RB-,Experiment4_uns,testConjL3Syn//dep_viol.r2.s1.0.wav,1.0,syncopated,b,s1,no_rule,dep,L3,z,0,2.779,3.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,3,Uncertain
1, s154,RB-,Experiment4_uns,testConjL3Syn//dep_viol.r2.s2.0.wav,1.0,syncopated,b,s2,no_rule,dep,L3,z,0,1.134,6.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,3,Secure
2, s154,RB-,Experiment4_uns,testConjL3Syn//dep_viol.r1.s1.0.wav,1.0,syncopated,a,s1,no_rule,dep,L3,m,1,1.767,3.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,3,Uncertain
3, s154,RB-,Experiment4_uns,testConjL3Syn//cat_viol.r1.s1.0.wav,1.0,syncopated,a,s1,no_rule,cat,L3,m,1,0.685,6.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,3,Secure
4, s154,RB-,Experiment4_uns,testConjL3Syn//dep_viol.r1.s2.0.wav,1.0,syncopated,a,s2,no_rule,dep,L3,m,1,0.45,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,3,Uncertain
5, s154,RB-,Experiment4_uns,testConjL3Syn//r2.s1.2.wav,1.0,syncopated,b,s1,rule,rule,L3,z,1,1.967,3.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,3,Uncertain
6, s154,RB-,Experiment4_uns,testConjL3Syn//cat_viol.r1.s2.0.wav,1.0,syncopated,a,s2,no_rule,cat,L3,z,0,0.668,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,3,Uncertain
7, s154,RB-,Experiment4_uns,testConjL3Syn//r1.s1.2.wav,1.0,syncopated,a,s1,rule,rule,L3,z,1,0.506,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,3,Unsecure
8, s154,RB-,Experiment4_uns,testConjL3Syn//r2.s2.1.wav,1.0,syncopated,b,s2,rule,rule,L3,z,1,0.684,6.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,3,Secure
9, s154,RB-,Experiment4_uns,testConjL3Syn//cat_viol.r2.s1.0.wav,1.0,syncopated,b,s1,no_rule,cat,L3,z,0,0.375,7.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,3,Secure
