,participant,condition,expName,group,age,sex,hand,education_level,block,language,BMRQ_score,music_exp,n_lang,n_lang_used,ability_learn_l2,tendence_mix_lan,partiture,music_use,meanRTs,syllable,info_index
0, s154,B,Experiment4_uns,A,25.0,masculino,right,Bachelor degree,3,L2,68.0,no,2.0,2.0,3.0,4.0,yes,no,-0.09791250000005569,C,1
1, s154,B,Experiment4_uns,A,25.0,masculino,right,Bachelor degree,3,L2,68.0,no,2.0,2.0,3.0,4.0,yes,no,-0.027814285714328424,A,1
2,102,B,Unsyncopated_study2,B,23.0,feminino,right,Master degree,1,L4,58.0,no,2.0,2.0,3.0,4.0,no,no,0.002351973684164954,C,1
3,102,B,Unsyncopated_study2,B,23.0,feminino,right,Master degree,1,L4,58.0,no,2.0,2.0,3.0,4.0,no,no,0.006601973684155493,A,1
4,157,B,Experiment4_uns,A,24.0,feminino,right,Master degree,1,L2,72.0,yes,3.0,2.0,3.0,4.0,yes,yes,-0.15378552630546882,C,1
5,157,B,Experiment4_uns,A,24.0,feminino,right,Master degree,1,L2,72.0,yes,3.0,2.0,3.0,4.0,yes,yes,0.003146616548295178,A,1
6,S133,B,Unsyncopated_study3,B,18.0,feminino,right,Upper secondary,1,L1,72.0,yes,3.0,2.0,3.0,5.0,yes,yes,0.03767647062944046,A,1
7,S133,B,Unsyncopated_study3,B,18.0,feminino,right,Upper secondary,1,L1,72.0,yes,3.0,2.0,3.0,5.0,yes,yes,0.12470000007252269,C,1
8,s10,B,Unsyncopated1,A,26.0,masculino,right,Bachelor degree,1,L3,75.0,yes,4.0,2.0,4.0,3.0,no,no,-0.018750000000179456,A,1
9,s10,B,Unsyncopated1,A,26.0,masculino,right,Bachelor degree,1,L3,75.0,yes,4.0,2.0,4.0,3.0,no,no,0.03579999999982597,C,1
10,s100,B,Unsyncopated_study2,B,23.0,feminino,right,Master degree,2,L4,53.0,no,2.0,2.0,3.0,2.0,no,no,0.00677625004052651,A,1
11,s100,B,Unsyncopated_study2,B,23.0,feminino,right,Master degree,2,L4,53.0,no,2.0,2.0,3.0,2.0,no,no,0.04987625001221396,C,1
12,s101,B,Unsyncopated_study2,B,23.0,feminino,right,Master degree,3,L4,61.0,yes,2.0,2.0,2.0,2.0,yes,no,-0.009175454534163907,A,1
13,s101,B,Unsyncopated_study2,B,23.0,feminino,right,Master degree,3,L4,61.0,yes,2.0,2.0,2.0,2.0,yes,no,0.08765454552234242,C,1
14,s103,B,Unsyncopated_study2,B,24.0,feminino,right,Master degree,3,L4,60.0,no,4.0,2.0,5.0,5.0,no,no,-0.07743030303031362,A,1
