condA,condB,ord,colour
gu,gu,88:92,green
mo,mo,28:32,red
mo,mo,4:8,red
ñe,ñe,36:40,blue
ji,ji,124:128,orange
gu,gu,76:80,green
mo,mo,32:36,red
gu,gu,96:100,green
ñe,ñe,48:52,blue
ñe,ñe,52:56,blue
mo,mo,8:12,red
mo,mo,20:24,red
gu,gu,92:96,green
ji,ji,128:132,orange
gu,gu,72:76,green
gu,gu,84:88,green
ji,ji,112:116,orange
mo,mo,24:28,red
ñe,ñe,56:60,blue
gu,gu,80:84,green
ji,ji,120:124,orange
ñe,ñe,40:44,blue
ñe,ñe,68:72,blue
mo,mo,12:16,red
mo,mo,0:4,red
mo,mo,16:20,red
ñe,ñe,60:64,blue
ñe,ñe,44:48,blue
ji,ji,132:136,orange
ji,ji,116:120,orange
ji,ji,108:112,orange
gu,gu,100:104,green
ji,ji,104:108,orange
ñe,ñe,64:68,blue
