dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11
impR_L2//a.go.du0.none.none.wav,none,none,fe,to,cha,sil2,ra,mi,ñu,sil,ba,bi,sil1
impR_L2//a.go.du1.888.1776.wav,1776,888,te,ñu,ba,sil,go,si,mi,sil1,du,to,sil2
impR_L2//a.go.du2.1110.1998.wav,1998,1110,bi,mi,te,sil2,go,si,ñu,sil,du,su,sil1
impR_L2//a.go.du3.0.888.wav,888,0,go,ño,si,sil,du,te,mi,sil1,cha,bi,sil2
impR_L2//a.go.du4.0.888.wav,888,0,go,ñu,cha,sil,du,te,mi,sil1,ño,bi,sil2
impR_L2//a.go.du5.none.none.wav,none,none,me,ba,si,sil,fe,su,te,sil1,ra,ñu,sil2
impR_L2//a.go.du6.none.none.wav,none,none,fe,mi,to,sil,ra,bi,su,sil1,te,ño,sil2
impR_L2//a.go.du7.0.1110.wav,1110,0,go,si,ñu,sil2,du,cha,ba,sil,to,te,sil1
impR_L2//a.go.du8.0.888.wav,888,0,go,cha,ñu,sil,du,te,ba,sil2,si,ño,sil1
impR_L2//a.go.du9.none.none.wav,none,none,ño,bi,te,sil,fe,me,cha,sil2,ra,si,sil1
impR_L2//a.go.du10.none.none.wav,none,none,fe,me,mi,sil,ra,to,si,sil1,te,su,sil2
impR_L2//a.go.du11.none.none.wav,none,none,fe,ñu,si,sil,ra,cha,to,sil1,su,ño,sil2
impR_L2//a.go.du12.1110.1998.wav,1998,1110,te,su,mi,sil2,go,to,ño,sil,du,bi,sil1
impR_L2//a.go.du13.none.none.wav,none,none,si,ño,mi,sil2,fe,su,ba,sil,ra,ñu,sil1
impR_L2//a.go.du14.888.1998.wav,1998,888,ñu,cha,ño,sil,go,si,to,sil2,du,bi,sil1
impR_L2//a.go.du15.none.none.wav,none,none,to,ñu,ba,sil,fe,cha,mi,sil1,ra,me,sil2
impR_L2//a.go.du16.0.888.wav,888,0,go,ba,ño,sil,du,te,ñu,sil2,mi,to,sil1
impR_L2//a.go.du17.888.1998.wav,1998,888,ño,su,cha,sil,go,te,bi,sil2,du,ñu,sil1
impR_L2//a.go.du18.0.888.wav,888,0,go,ba,to,sil,du,ño,mi,sil2,te,ñu,sil1
impR_L2//a.go.du19.0.888.wav,888,0,go,to,te,sil,du,ba,ñu,sil2,ño,me,sil1
impR_L2//a.go.du20.none.none.wav,none,none,fe,ñu,ba,sil,ra,cha,me,sil1,mi,te,sil2
impR_L2//a.go.du21.1110.1998.wav,1998,1110,to,si,ño,sil2,go,ñu,me,sil,du,su,sil1
impR_L2//a.go.du22.none.none.wav,none,none,fe,bi,te,sil2,ra,si,to,sil,ba,me,sil1
impR_L2//a.go.du23.none.none.wav,none,none,fe,mi,to,sil2,ra,ba,su,sil,ñu,bi,sil1
impR_L2//a.go.du24.0.1110.wav,1110,0,go,ba,cha,sil2,du,mi,ñu,sil,si,ño,sil1
impR_L2//a.go.du25.none.none.wav,none,none,cha,to,me,sil,fe,ñu,su,sil1,ra,ño,sil2
impR_L2//a.go.du26.888.1776.wav,1776,888,su,bi,cha,sil,go,me,te,sil1,du,si,sil2
impR_L2//a.go.du27.888.1998.wav,1998,888,to,bi,cha,sil,go,si,te,sil2,du,me,sil1
impR_L2//a.go.du28.none.none.wav,none,none,to,su,te,sil,fe,ñu,me,sil1,ra,ba,sil2
impR_L2//a.go.du29.none.none.wav,none,none,ño,me,mi,sil2,fe,to,te,sil,ra,ba,sil1
impR_L2//a.go.du30.none.none.wav,none,none,me,te,to,sil2,fe,cha,ba,sil,ra,si,sil1
impR_L2//a.go.du31.none.none.wav,none,none,fe,cha,bi,sil,ra,si,te,sil2,su,ño,sil1
impR_L2//b.fe.ra0.0.888.wav,0,888,fe,ño,si,sil,ra,me,to,sil2,ñu,su,sil1
impR_L2//b.fe.ra1.none.none.wav,none,none,ño,cha,si,sil,go,bi,me,sil1,du,ba,sil2
impR_L2//b.fe.ra2.0.888.wav,0,888,fe,te,cha,sil,ra,me,ñu,sil1,si,bi,sil2
impR_L2//b.fe.ra3.none.none.wav,none,none,cha,ba,te,sil2,go,to,si,sil,du,su,sil1
impR_L2//b.fe.ra4.1110.1998.wav,1110,1998,ñu,ño,su,sil2,fe,cha,te,sil,ra,me,sil1
impR_L2//b.fe.ra5.888.1776.wav,888,1776,ñu,si,cha,sil,fe,ba,bi,sil1,ra,te,sil2
impR_L2//b.fe.ra6.0.1110.wav,0,1110,fe,ba,me,sil2,ra,ño,ñu,sil,si,cha,sil1
impR_L2//b.fe.ra7.none.none.wav,none,none,go,to,si,sil,du,ñu,cha,sil2,bi,ño,sil1
impR_L2//b.fe.ra8.none.none.wav,none,none,go,ba,su,sil,du,ño,bi,sil1,mi,ñu,sil2
impR_L2//b.fe.ra9.888.1776.wav,888,1776,me,su,cha,sil,fe,ño,si,sil1,ra,to,sil2
impR_L2//b.fe.ra10.0.1110.wav,0,1110,fe,ño,si,sil2,ra,ñu,to,sil,ba,mi,sil1
impR_L2//b.fe.ra11.0.888.wav,0,888,fe,to,ba,sil,ra,cha,mi,sil2,te,me,sil1
impR_L2//b.fe.ra12.none.none.wav,none,none,su,si,bi,sil,go,me,te,sil2,du,ba,sil1
impR_L2//b.fe.ra13.none.none.wav,none,none,go,mi,ñu,sil,du,ño,te,sil1,si,to,sil2
impR_L2//b.fe.ra14.888.1998.wav,888,1998,ñu,ño,to,sil,fe,si,ba,sil2,ra,te,sil1
impR_L2//b.fe.ra15.none.none.wav,none,none,te,cha,ñu,sil,go,bi,ño,sil2,du,mi,sil1
impR_L2//b.fe.ra16.none.none.wav,none,none,go,cha,si,sil2,du,mi,su,sil,ba,te,sil1
impR_L2//b.fe.ra17.none.none.wav,none,none,go,ba,ño,sil2,du,me,cha,sil,mi,ñu,sil1
impR_L2//b.fe.ra18.0.888.wav,0,888,fe,ba,ñu,sil,ra,bi,su,sil2,to,me,sil1
impR_L2//b.fe.ra19.none.none.wav,none,none,su,me,si,sil,go,ño,ba,sil2,du,cha,sil1
impR_L2//b.fe.ra20.none.none.wav,none,none,go,te,si,sil2,du,bi,mi,sil,me,ño,sil1
impR_L2//b.fe.ra21.0.888.wav,0,888,fe,su,te,sil,ra,si,bi,sil1,cha,me,sil2
impR_L2//b.fe.ra22.none.none.wav,none,none,cha,te,ñu,sil2,go,bi,to,sil,du,mi,sil1
impR_L2//b.fe.ra23.none.none.wav,none,none,go,si,ñu,sil2,du,bi,to,sil,ba,me,sil1
impR_L2//b.fe.ra24.none.none.wav,none,none,mi,ño,ñu,sil2,go,bi,to,sil,du,te,sil1
impR_L2//b.fe.ra25.none.none.wav,none,none,go,ñu,cha,sil2,du,si,ba,sil,bi,te,sil1
