condA,condB,ord,colour
fe,ra,48:52,blue
du,go,12:16,red
du,go,20:24,red
si,ñu,96:100,orange
du,go,16:20,red
si,ñu,120:124,orange
si,ñu,100:104,orange
cha,me,80:84,green
du,go,8:12,red
cha,me,76:80,green
cha,me,64:68,green
cha,me,68:72,green
fe,ra,40:44,blue
si,ñu,108:112,orange
fe,ra,36:40,blue
cha,me,84:88,green
si,ñu,124:128,orange
fe,ra,32:36,blue
fe,ra,56:60,blue
si,ñu,104:108,orange
fe,ra,44:48,blue
si,ñu,112:116,orange
fe,ra,60:64,blue
du,go,4:8,red
cha,me,92:96,green
cha,me,72:76,green
si,ñu,116:120,orange
cha,me,88:92,green
du,go,0:4,red
du,go,24:28,red
fe,ra,52:56,blue
du,go,28:32,red
