dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11
impRB_pl_L1//a.pu.ki0.888.1776.wav,1776,888,ze,ri,ni,sil,pu,fa,lu,sil1,ki,la,sil2
impRB_pl_L1//a.pu.ki1.888.1776.wav,1776,888,ze,ni,la,sil,pu,ro,zu,sil1,ki,fa,sil2
impRB_pl_L1//a.pu.ki2.888.1776.wav,1776,888,ri,ne,fa,sil,pu,la,fo,sil1,ki,lu,sil2
impRB_pl_L1//a.pu.ki3.0.888.wav,888,0,pu,ze,cho,sil,ki,fa,ri,sil1,ni,lu,sil2
impRB_pl_L1//a.pu.ki4.none.none.wav,none,none,ta,la,lu,sil,be,ze,fa,sil1,ne,ri,sil2
impRB_pl_L1//a.pu.ki5.0.888.wav,888,0,pu,fo,zu,sil,ki,fa,la,sil1,ze,ri,sil2
impRB_pl_L1//a.pu.ki6.888.1776.wav,1776,888,ri,ze,ro,sil,pu,cho,lu,sil1,ki,fo,sil2
impRB_pl_L1//a.pu.ki7.0.888.wav,888,0,pu,ne,ro,sil,ki,lu,la,sil1,ni,ri,sil2
impRB_pl_L1//a.pu.ki8.none.none.wav,none,none,lu,zu,ri,sil,ta,ne,la,sil1,be,cho,sil2
impRB_pl_L1//a.pu.ki9.none.none.wav,none,none,ta,ne,cho,sil,be,ro,la,sil1,lu,ri,sil2
impRB_pl_L1//a.pu.ki10.none.none.wav,none,none,zu,ri,cho,sil,ta,ne,la,sil1,be,ze,sil2
impRB_pl_L1//a.pu.ki11.0.888.wav,888,0,pu,zu,cho,sil,ki,fo,ze,sil1,lu,fa,sil2
impRB_pl_L1//a.pu.ki12.none.none.wav,none,none,ta,ne,ro,sil,be,ri,cho,sil1,la,ni,sil2
impRB_pl_L1//a.pu.ki13.none.none.wav,none,none,zu,lu,cho,sil,ta,ne,ri,sil1,be,ni,sil2
impRB_pl_L1//a.pu.ki14.none.none.wav,none,none,ta,ni,zu,sil,be,lu,fa,sil1,ze,fo,sil2
impRB_pl_L1//a.pu.ki15.none.none.wav,none,none,lu,fo,ze,sil,ta,ne,ni,sil1,be,ro,sil2
impRB_pl_L1//a.pu.ki16.none.none.wav,none,none,ta,ni,zu,sil,be,fa,ro,sil1,lu,ri,sil2
impRB_pl_L1//a.pu.ki17.888.1776.wav,1776,888,ze,fo,ni,sil,pu,ri,cho,sil1,ki,fa,sil2
impRB_pl_L1//a.pu.ki18.none.none.wav,none,none,ri,zu,ze,sil,ta,ro,ne,sil1,be,fo,sil2
impRB_pl_L1//a.pu.ki19.none.none.wav,none,none,zu,la,ne,sil,ta,ni,fo,sil1,be,ze,sil2
impRB_pl_L1//a.pu.ki20.888.1776.wav,1776,888,la,ne,ro,sil,pu,zu,fa,sil1,ki,cho,sil2
impRB_pl_L1//a.pu.ki21.none.none.wav,none,none,ni,ze,la,sil,ta,cho,ne,sil1,be,lu,sil2
impRB_pl_L1//a.pu.ki22.888.1776.wav,1776,888,la,fo,ri,sil,pu,ne,cho,sil1,ki,lu,sil2
impRB_pl_L1//a.pu.ki23.0.888.wav,888,0,pu,ze,ni,sil,ki,fo,la,sil1,ri,fa,sil2
impRB_pl_L1//a.pu.ki24.none.none.wav,none,none,ta,ze,ne,sil,be,la,zu,sil1,fa,cho,sil2
impRB_pl_L1//a.pu.ki25.0.888.wav,888,0,pu,ze,ne,sil,ki,ri,cho,sil1,ro,fo,sil2
