dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11
impRB_min_L4//a.zi.lo0.none.none.wav,none,none,da,ña,ci,ja,sil,de,bo,nu,sil1,pe,sil2
impRB_min_L4//a.zi.lo1.0.666.wav,666,0,zi,ru,bu,lo,sil,pe,da,ci,sil1,re,sil2
impRB_min_L4//a.zi.lo2.0.666.wav,666,0,zi,ci,pe,lo,sil,ru,po,da,sil1,bo,sil2
impRB_min_L4//a.zi.lo3.0.666.wav,666,0,zi,ña,da,lo,sil,po,bo,de,sil1,pe,sil2
impRB_min_L4//a.zi.lo4.666.1554.wav,1554,666,ru,ñi,bo,zi,sil,de,bu,lo,sil1,po,sil2
impRB_min_L4//a.zi.lo5.none.none.wav,none,none,ja,bo,ña,nu,sil,de,ru,ci,sil1,po,sil2
impRB_min_L4//a.zi.lo6.666.1554.wav,1554,666,ci,ñi,bo,zi,sil,re,da,lo,sil1,de,sil2
impRB_min_L4//a.zi.lo7.none.none.wav,none,none,ja,pe,bu,nu,sil,ñi,de,ru,sil1,po,sil2
impRB_min_L4//a.zi.lo8.666.1554.wav,1554,666,ci,po,re,zi,sil,de,bu,lo,sil1,ru,sil2
impRB_min_L4//a.zi.lo9.none.none.wav,none,none,pe,da,po,ja,sil,bo,re,nu,sil1,de,sil2
impRB_min_L4//a.zi.lo10.666.1554.wav,1554,666,ña,de,ru,zi,sil,pe,bo,lo,sil1,da,sil2
impRB_min_L4//a.zi.lo11.none.none.wav,none,none,ja,ci,bo,nu,sil,ña,pe,ñi,sil1,po,sil2
impRB_min_L4//a.zi.lo12.none.none.wav,none,none,ja,ña,ñi,nu,sil,de,bo,re,sil1,ci,sil2
impRB_min_L4//a.zi.lo13.none.none.wav,none,none,de,ru,bu,ja,sil,bo,ña,nu,sil1,pe,sil2
impRB_min_L4//a.zi.lo14.0.666.wav,666,0,zi,ci,ru,lo,sil,pe,re,de,sil1,ña,sil2
impRB_min_L4//a.zi.lo15.none.none.wav,none,none,ja,bo,ñi,nu,sil,ña,ru,pe,sil1,re,sil2
impRB_min_L4//a.zi.lo16.0.666.wav,666,0,zi,de,da,lo,sil,ñi,ci,pe,sil1,re,sil2
impRB_min_L4//a.zi.lo17.none.none.wav,none,none,de,bo,ru,ja,sil,da,ñi,nu,sil1,re,sil2
impRB_min_L4//a.zi.lo18.none.none.wav,none,none,ja,da,pe,nu,sil,ña,ñi,bu,sil1,re,sil2
impRB_min_L4//a.zi.lo19.666.1554.wav,1554,666,da,ci,pe,zi,sil,bo,po,lo,sil1,re,sil2
impRB_min_L4//a.zi.lo20.666.1554.wav,1554,666,ru,bu,bo,zi,sil,re,da,lo,sil1,ci,sil2
impRB_min_L4//a.zi.lo21.666.1554.wav,1554,666,de,pe,bo,zi,sil,da,po,lo,sil1,ci,sil2
impRB_min_L4//a.zi.lo22.none.none.wav,none,none,ja,pe,ñi,nu,sil,re,po,bo,sil1,bu,sil2
impRB_min_L4//a.zi.lo23.none.none.wav,none,none,da,pe,re,ja,sil,bu,de,nu,sil1,ña,sil2
impRB_min_L4//a.zi.lo24.0.666.wav,666,0,zi,da,ci,lo,sil,bu,ña,bo,sil1,re,sil2
impRB_min_L4//a.zi.lo25.none.none.wav,none,none,ru,ña,po,ja,sil,ñi,bo,nu,sil1,pe,sil2
impRB_min_L4//a.zi.lo26.0.666.wav,666,0,zi,re,pe,lo,sil,ñi,da,bo,sil1,ña,sil2
impRB_min_L4//a.zi.lo27.0.666.wav,666,0,zi,re,po,lo,sil,da,ñi,de,sil1,bo,sil2
impRB_min_L4//a.zi.lo28.none.none.wav,none,none,re,pe,bu,ja,sil,de,ci,nu,sil1,ñi,sil2
impRB_min_L4//a.zi.lo29.666.1554.wav,1554,666,ñi,ru,re,zi,sil,bo,ña,lo,sil1,da,sil2
impRB_min_L4//a.zi.lo30.none.none.wav,none,none,ja,bu,bo,nu,sil,ci,de,po,sil1,da,sil2
impRB_min_L4//a.zi.lo31.none.none.wav,none,none,ña,pe,ru,ja,sil,bu,de,nu,sil1,bo,sil2
impRB_min_L4//b.ja.nu0.none.none.wav,none,none,zi,bo,re,lo,sil,pe,da,ru,sil1,ci,sil2
impRB_min_L4//b.ja.nu1.666.1554.wav,666,1554,da,pe,ci,ja,sil,re,po,nu,sil1,ñi,sil2
impRB_min_L4//b.ja.nu2.0.666.wav,0,666,ja,de,pe,nu,sil,bo,da,po,sil1,ci,sil2
impRB_min_L4//b.ja.nu3.none.none.wav,none,none,pe,de,ñi,zi,sil,bo,ru,lo,sil1,da,sil2
impRB_min_L4//b.ja.nu4.0.666.wav,0,666,ja,bu,ñi,nu,sil,pe,bo,po,sil1,ña,sil2
impRB_min_L4//b.ja.nu5.666.1554.wav,666,1554,ci,bu,po,ja,sil,da,pe,nu,sil1,de,sil2
impRB_min_L4//b.ja.nu6.0.666.wav,0,666,ja,bo,ña,nu,sil,re,po,pe,sil1,ci,sil2
impRB_min_L4//b.ja.nu7.none.none.wav,none,none,zi,re,ñi,lo,sil,bu,da,de,sil1,ru,sil2
impRB_min_L4//b.ja.nu8.none.none.wav,none,none,ña,po,ru,zi,sil,de,pe,lo,sil1,da,sil2
impRB_min_L4//b.ja.nu9.none.none.wav,none,none,zi,ci,pe,lo,sil,po,ru,ñi,sil1,ña,sil2
impRB_min_L4//b.ja.nu10.none.none.wav,none,none,zi,da,ña,lo,sil,ru,bo,bu,sil1,ñi,sil2
impRB_min_L4//b.ja.nu11.none.none.wav,none,none,ña,da,ru,zi,sil,ñi,pe,lo,sil1,ci,sil2
impRB_min_L4//b.ja.nu12.none.none.wav,none,none,pe,ña,ru,zi,sil,bu,re,lo,sil1,da,sil2
impRB_min_L4//b.ja.nu13.0.666.wav,0,666,ja,ñi,ci,nu,sil,da,re,po,sil1,de,sil2
impRB_min_L4//b.ja.nu14.none.none.wav,none,none,ñi,da,bu,zi,sil,ci,ña,lo,sil1,bo,sil2
impRB_min_L4//b.ja.nu15.none.none.wav,none,none,de,ñi,ña,zi,sil,po,da,lo,sil1,ci,sil2
impRB_min_L4//b.ja.nu16.666.1554.wav,666,1554,ru,re,pe,ja,sil,po,ña,nu,sil1,da,sil2
impRB_min_L4//b.ja.nu17.666.1554.wav,666,1554,re,bo,po,ja,sil,ñi,de,nu,sil1,ci,sil2
impRB_min_L4//b.ja.nu18.0.666.wav,0,666,ja,ci,ñi,nu,sil,ña,de,ru,sil1,bu,sil2
impRB_min_L4//b.ja.nu19.0.666.wav,0,666,ja,ru,ñi,nu,sil,bu,pe,re,sil1,ña,sil2
impRB_min_L4//b.ja.nu20.666.1554.wav,666,1554,bu,ci,re,ja,sil,pe,ru,nu,sil1,po,sil2
impRB_min_L4//b.ja.nu21.none.none.wav,none,none,de,bo,ci,zi,sil,pe,ña,lo,sil1,po,sil2
impRB_min_L4//b.ja.nu22.666.1554.wav,666,1554,po,ru,re,ja,sil,bo,bu,nu,sil1,da,sil2
impRB_min_L4//b.ja.nu23.0.666.wav,0,666,ja,de,ci,nu,sil,pe,bo,ña,sil1,ñi,sil2
impRB_min_L4//b.ja.nu24.none.none.wav,none,none,zi,ru,re,lo,sil,pe,ñi,da,sil1,bo,sil2
impRB_min_L4//b.ja.nu25.none.none.wav,none,none,zi,re,bo,lo,sil,ru,ci,ña,sil1,bu,sil2
impRB_min_L4//b.ja.nu26.666.1554.wav,666,1554,de,po,da,ja,sil,re,ña,nu,sil1,bu,sil2
impRB_min_L4//b.ja.nu27.666.1554.wav,666,1554,ru,re,bo,ja,sil,ñi,ña,nu,sil1,po,sil2
impRB_min_L4//b.ja.nu28.none.none.wav,none,none,da,ñi,po,zi,sil,bo,ru,lo,sil1,bu,sil2
impRB_min_L4//b.ja.nu29.none.none.wav,none,none,zi,ru,po,lo,sil,pe,ña,bo,sil1,ñi,sil2
impRB_min_L4//b.ja.nu30.none.none.wav,none,none,zi,bo,ña,lo,sil,ci,bu,re,sil1,pe,sil2
impRB_min_L4//b.ja.nu31.0.666.wav,0,666,ja,da,pe,nu,sil,ña,bo,ci,sil1,de,sil2
impRB_min_L4//c.bu.da0.none.none.wav,none,none,de,pe,ñi,zi,sil,po,bo,lo,sil1,ci,sil2
impRB_min_L4//c.bu.da1.none.none.wav,none,none,ci,bo,ña,ja,sil,ru,pe,nu,sil1,de,sil2
impRB_min_L4//c.bu.da2.none.none.wav,none,none,zi,bo,po,lo,sil,ci,ru,de,sil1,pe,sil2
impRB_min_L4//c.bu.da3.none.none.wav,none,none,re,po,de,zi,sil,ña,ñi,lo,sil1,pe,sil2
impRB_min_L4//c.bu.da4.none.none.wav,none,none,zi,pe,po,lo,sil,bo,ña,re,sil1,ñi,sil2
impRB_min_L4//c.bu.da5.none.none.wav,none,none,ci,pe,bo,zi,sil,ru,re,lo,sil1,de,sil2
impRB_min_L4//c.bu.da6.222.1332.wav,222,1332,ja,bu,pe,nu,sil,po,da,ru,sil1,re,sil2
impRB_min_L4//c.bu.da7.none.none.wav,none,none,pe,po,ci,ja,sil,ña,ñi,nu,sil1,de,sil2
impRB_min_L4//c.bu.da8.none.none.wav,none,none,ja,ña,po,nu,sil,pe,bo,de,sil1,ci,sil2
impRB_min_L4//c.bu.da9.222.444.wav,222,444,ja,bu,da,nu,sil,ci,bo,pe,sil1,ñi,sil2
impRB_min_L4//c.bu.da10.1554.1110.wav,1554,1110,zi,re,bo,lo,sil,da,de,bu,sil1,ci,sil2
impRB_min_L4//c.bu.da11.1332.444.wav,1332,444,bo,ña,da,ja,sil,po,bu,nu,sil1,ñi,sil2
impRB_min_L4//c.bu.da12.none.none.wav,none,none,ja,re,de,nu,sil,ci,ña,bo,sil1,ru,sil2
impRB_min_L4//c.bu.da13.none.none.wav,none,none,zi,de,ci,lo,sil,po,ña,ñi,sil1,ru,sil2
impRB_min_L4//c.bu.da14.none.none.wav,none,none,bo,ñi,ña,ja,sil,ci,pe,nu,sil1,ru,sil2
impRB_min_L4//c.bu.da15.444.1110.wav,444,1110,ja,ci,bu,nu,sil,da,ñi,bo,sil1,pe,sil2
impRB_min_L4//c.bu.da16.222.1110.wav,222,1110,de,bu,po,ja,sil,da,ña,nu,sil1,pe,sil2
impRB_min_L4//c.bu.da17.222.1110.wav,222,1110,zi,bu,pe,lo,sil,da,ña,de,sil1,ñi,sil2
impRB_min_L4//c.bu.da18.none.none.wav,none,none,zi,ru,de,lo,sil,re,pe,ña,sil1,bo,sil2
impRB_min_L4//c.bu.da19.1332.444.wav,1332,444,ja,ñi,da,nu,sil,ru,bu,ña,sil1,po,sil2
impRB_min_L4//c.bu.da20.1110.222.wav,1110,222,ci,da,ña,zi,sil,bu,po,lo,sil1,pe,sil2
impRB_min_L4//c.bu.da21.1332.444.wav,1332,444,ña,pe,da,zi,sil,ci,bu,lo,sil1,re,sil2
impRB_min_L4//c.bu.da22.none.none.wav,none,none,ru,pe,ci,zi,sil,po,ña,lo,sil1,bo,sil2
impRB_min_L4//c.bu.da23.222.444.wav,222,444,zi,bu,da,lo,sil,ñi,po,re,sil1,de,sil2
impRB_min_L4//c.bu.da24.444.0.wav,444,0,da,ña,bu,ja,sil,re,de,nu,sil1,ñi,sil2
impRB_min_L4//c.bu.da25.0.222.wav,0,222,bu,da,ru,ja,sil,po,ñi,nu,sil1,ci,sil2
impRB_min_L4//c.bu.da26.1332.444.wav,1332,444,zi,ñi,da,lo,sil,ci,bu,ru,sil1,re,sil2
impRB_min_L4//c.bu.da27.1110.0.wav,1110,0,da,re,po,zi,sil,bu,bo,lo,sil1,ru,sil2
impRB_min_L4//c.bu.da28.none.none.wav,none,none,ña,re,bo,ja,sil,pe,ci,nu,sil1,po,sil2
impRB_min_L4//c.bu.da29.444.1110.wav,444,1110,bo,ci,bu,zi,sil,da,ru,lo,sil1,ña,sil2
impRB_min_L4//c.bu.da30.none.none.wav,none,none,ja,ci,de,nu,sil,re,ru,po,sil1,bo,sil2
impRB_min_L4//c.bu.da31.none.none.wav,none,none,ja,de,ña,nu,sil,po,ñi,ci,sil1,ru,sil2
impRB_min_L4//d.pe.po0.1332.222.wav,1332,222,ja,po,re,nu,sil,ña,pe,bo,sil1,de,sil2
impRB_min_L4//d.pe.po1.none.none.wav,none,none,re,bu,bo,zi,sil,ci,da,lo,sil1,ñi,sil2
impRB_min_L4//d.pe.po2.0.1110.wav,0,1110,pe,ña,bo,zi,sil,po,ci,lo,sil1,bu,sil2
impRB_min_L4//d.pe.po3.0.444.wav,0,444,pe,da,po,ja,sil,ñi,de,nu,sil1,ru,sil2
impRB_min_L4//d.pe.po4.none.none.wav,none,none,ja,re,ñi,nu,sil,bu,ci,de,sil1,da,sil2
impRB_min_L4//d.pe.po5.none.none.wav,none,none,ña,re,de,zi,sil,ru,ñi,lo,sil1,da,sil2
impRB_min_L4//d.pe.po6.none.none.wav,none,none,da,ña,bu,ja,sil,de,ci,nu,sil1,re,sil2
impRB_min_L4//d.pe.po7.1110.222.wav,1110,222,ñi,po,bu,ja,sil,pe,ru,nu,sil1,da,sil2
impRB_min_L4//d.pe.po8.1110.222.wav,1110,222,zi,po,da,lo,sil,pe,bo,ña,sil1,bu,sil2
impRB_min_L4//d.pe.po9.0.1110.wav,0,1110,pe,ñi,re,zi,sil,po,ña,lo,sil1,bu,sil2
impRB_min_L4//d.pe.po10.none.none.wav,none,none,bu,ru,bo,zi,sil,ña,ñi,lo,sil1,ci,sil2
impRB_min_L4//d.pe.po11.444.1110.wav,444,1110,bo,de,pe,ja,sil,po,ña,nu,sil1,ñi,sil2
impRB_min_L4//d.pe.po12.222.1110.wav,222,1110,zi,pe,ru,lo,sil,po,bo,de,sil1,ci,sil2
impRB_min_L4//d.pe.po13.none.none.wav,none,none,ña,bo,bu,ja,sil,ci,da,nu,sil1,ñi,sil2
impRB_min_L4//d.pe.po14.none.none.wav,none,none,ñi,re,ru,zi,sil,ci,bu,lo,sil1,de,sil2
impRB_min_L4//d.pe.po15.0.444.wav,0,444,pe,ru,po,zi,sil,ña,de,lo,sil1,bo,sil2
impRB_min_L4//d.pe.po16.none.none.wav,none,none,ja,re,ci,nu,sil,ru,ñi,de,sil1,bu,sil2
impRB_min_L4//d.pe.po17.1110.222.wav,1110,222,ja,po,ci,nu,sil,pe,da,bu,sil1,ru,sil2
impRB_min_L4//d.pe.po18.1332.444.wav,1332,444,ja,bu,po,nu,sil,ru,pe,bo,sil1,de,sil2
impRB_min_L4//d.pe.po19.1110.0.wav,1110,0,po,bu,de,ja,sil,pe,ru,nu,sil1,bo,sil2
impRB_min_L4//d.pe.po20.none.none.wav,none,none,ja,re,ru,nu,sil,da,bo,bu,sil1,ci,sil2
impRB_min_L4//d.pe.po21.222.1332.wav,222,1332,zi,pe,ñi,lo,sil,bo,po,bu,sil1,de,sil2
impRB_min_L4//d.pe.po22.none.none.wav,none,none,zi,ñi,da,lo,sil,de,bu,ña,sil1,ci,sil2
impRB_min_L4//d.pe.po23.none.none.wav,none,none,zi,bu,bo,lo,sil,ña,ci,ñi,sil1,ru,sil2
impRB_min_L4//d.pe.po24.none.none.wav,none,none,ja,ru,bo,nu,sil,ña,de,bu,sil1,ñi,sil2
impRB_min_L4//d.pe.po25.none.none.wav,none,none,ña,de,ci,ja,sil,da,bo,nu,sil1,re,sil2
impRB_min_L4//d.pe.po26.none.none.wav,none,none,zi,da,re,lo,sil,bo,de,bu,sil1,ru,sil2
impRB_min_L4//d.pe.po27.1554.1110.wav,1554,1110,ja,ci,ña,nu,sil,po,re,pe,sil1,bu,sil2
