condA,condB,ord,colour
ja,nu,52:56,blue
lo,zi,8:12,red
bu,da,92:96,green
bu,da,64:68,green
ja,nu,32:36,blue
lo,zi,4:8,red
pe,po,104:108,orange
bu,da,88:92,green
lo,zi,28:32,red
ja,nu,44:48,blue
pe,po,96:100,orange
lo,zi,20:24,red
bu,da,76:80,green
ja,nu,48:52,blue
ja,nu,40:44,blue
lo,zi,16:20,red
ja,nu,60:64,blue
bu,da,80:84,green
pe,po,100:104,orange
lo,zi,24:28,red
pe,po,124:128,orange
bu,da,68:72,green
ja,nu,56:60,blue
ja,nu,36:40,blue
pe,po,112:116,orange
lo,zi,12:16,red
bu,da,72:76,green
pe,po,108:112,orange
pe,po,116:120,orange
bu,da,84:88,green
pe,po,120:124,orange
lo,zi,0:4,red
