Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,0,Online_whenL4//a.lo14.none.wav,bu,ru,nu,sil,zi,bo,pe,sil1,da,ñi,sil2,['-'],,,none,none,,,,lo,1,testWhenL4Uns//r1.s2.2.wav,1.0,when,unsyncopated,a,s2,rule,rule,L4,z,4.308,6.0,1.0,2.489,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,nada,58.0,yes
1,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,1,Online_whenL4//a.lo12.none.wav,nu,bu,zi,sil,ñi,bo,ci,sil1,ru,ña,sil2,['-'],,,none,none,,,,lo,1,testWhenL4Uns//time_viol.r2.s2.0.wav,1.0,when,unsyncopated,b,s2,no_rule,time,L4,z,1.249,6.0,1.0,2.366,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,2. En mi tiempo libre apenas escucho música.,3.0,nada,58.0,yes
2,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,2,Online_whenL4//a.lo13.1776.wav,re,ña,ru,sil,ci,ja,ñi,sil1,lo,pe,sil2,['catch'],[2.3250000000000455],[2.3250000000000455],1.776,beat,0.5490000000000455,0.5490000000000455,"[""space""]",lo,1,testWhenL4Uns//cat_viol.r1.s2.0.wav,1.0,when,unsyncopated,a,s2,no_rule,cat,L4,m,4.228,4.0,0.0,3.497,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,3. Algunas canciones me ponen los pelos de punta,4.0,nada,58.0,yes
3,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,3,Online_whenL4//a.lo15.1776.wav,de,pe,da,sil,ñi,po,re,sil1,lo,ja,sil2,['catch'],[2.2240000000000464],[2.2240000000000464],1.776,beat,0.4480000000000463,0.4480000000000463,"[""space""]",lo,1,testWhenL4Uns//r1.s1.0.wav,1.0,when,unsyncopated,a,s1,rule,rule,L4,z,1.25,6.0,1.0,2.0,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,4. La música me hace compañía cuando estoy solo,4.0,nada,58.0,yes
4,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,4,Online_whenL4//c.bu27.0.wav,bu,de,zi,sil,ja,da,ru,sil1,bo,po,sil2,['miss'],,,0.0,beat,,,,bu,3,testWhenL4Uns//cat_viol.r1.s1.0.wav,1.0,when,unsyncopated,a,s1,no_rule,cat,L4,m,2.931,6.0,0.0,7.263,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,5. No me apetece bailar ni con la música que más me gusta,4.0,nada,58.0,yes
5,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,5,Online_whenL4//c.bu25.222.wav,ña,bu,de,sil,da,po,lo,sil1,ja,pe,sil2,['catch'],[0.79200000000003],[0.79200000000003],0.222,no_beat,0.57000000000003,0.57000000000003,"[""space""]",bu,3,testWhenL4Uns//r2.s1.1.wav,1.0,when,unsyncopated,b,s1,rule,rule,L4,z,1.8,5.0,1.0,2.248,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,6. La música me hace conectar con la gente,3.0,nada,58.0,yes
6,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,6,Online_whenL4//c.bu26.none.wav,po,da,ña,sil,zi,ru,lo,sil1,ci,re,sil2,['-'],,,none,none,,,,bu,3,testWhenL4Uns//cat_viol.r2.s2.0.wav,1.0,when,unsyncopated,b,s2,no_rule,cat,L4,m,2.233,5.0,0.0,1.983,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,7. Me informo sobre la música que me gusta.,2.0,nada,58.0,yes
7,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,7,Online_whenL4//c.bu24.1998.wav,lo,po,ci,sil,nu,re,ñi,sil1,pe,bu,sil2,['catch'],[2.5579999999999927],[2.5579999999999927],1.998,no_beat,0.5599999999999927,0.5599999999999927,"[""space""]",bu,3,testWhenL4Uns//r1.s2.0.wav,1.0,when,unsyncopated,a,s2,rule,rule,L4,m,7.178,3.0,0.0,1.433,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,8.Me emociono escuchando ciertas canciones.,3.0,nada,58.0,yes
8,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,8,Online_whenL4//d.pe30.none.wav,ru,lo,po,sil,nu,de,da,sil1,ña,ñi,sil2,['-'],,,none,none,,,,pe,4,testWhenL4Uns//time_viol.r2.s1.0.wav,1.0,when,unsyncopated,b,s1,no_rule,time,L4,z,3.914,3.0,1.0,0.999,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,9.La música me tranquiliza y me relaja.,4.0,nada,58.0,yes
9,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,9,Online_whenL4//d.pe31.1332.wav,bu,re,ru,sil,ja,de,pe,sil1,ci,zi,sil2,['catch'],[1.808999999999969],[1.808999999999969],1.332,no_beat,0.476999999999969,0.476999999999969,"[""space""]",pe,4,testWhenL4Uns//time_viol.r1.s2.0.wav,1.0,when,unsyncopated,a,s2,no_rule,time,L4,z,2.63,3.0,1.0,2.781,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,10.La música me hace bailar,2.0,nada,58.0,yes
