Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-03-03_18h37.35.448,Unsyncopated_study3,S133,18.0,feminino,right,España,Castellano y catalán,Upper secondary,no,no,B,1,when,L1,unsyncopated,when,when,0,Online_whenL1//c.ro5.none.wav,ni,zu,ze,sil,pu,be,fa,sil1,cho,fo,sil2,['-'],,,none,none,,,,ro,3,testWhenL1Uns//r2.s1.2.wav,1.0,when,unsyncopated,b,s1,rule,rule,L1,z,3.0996,6.0,1.0,2.7904,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,3.0,3.0,5.0,yes,yes,yes,Piano,5,Trompeta,5,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,nada ,72.0,yes
1,2024-03-03_18h37.35.448,Unsyncopated_study3,S133,18.0,feminino,right,España,Castellano y catalán,Upper secondary,no,no,B,1,when,L1,unsyncopated,when,when,1,Online_whenL1//c.ro6.none.wav,ri,ze,ta,sil,ne,zu,lu,sil1,be,fo,sil2,['false alarm'],[0.5888999998569489],[0.5888999998569489],none,none,,,"[""space""]",ro,3,testWhenL1Uns//time_viol.r1.s1.0.wav,1.0,when,unsyncopated,a,s1,no_rule,time,L1,m,1.1182,5.0,0.0,3.651,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,3.0,3.0,5.0,yes,yes,yes,Piano,5,Trompeta,5,2. En mi tiempo libre apenas escucho música.,5.0,nada ,72.0,yes
2,2024-03-03_18h37.35.448,Unsyncopated_study3,S133,18.0,feminino,right,España,Castellano y catalán,Upper secondary,no,no,B,1,when,L1,unsyncopated,when,when,2,Online_whenL1//c.ro7.0.wav,ro,ta,pu,sil,fa,lu,fo,sil1,cho,ri,sil2,['catch'],[0.5724000000952856],[0.5724000000952856],0.0,beat,0.5724000000952856,0.5724000000952856,"[""space""]",ro,3,testWhenL1Uns//cat_viol.r1.s1.0.wav,1.0,when,unsyncopated,a,s1,no_rule,cat,L1,m,0.6876,4.0,0.0,0.6679,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,3.0,3.0,5.0,yes,yes,yes,Piano,5,Trompeta,5,3. Algunas canciones me ponen los pelos de punta,4.0,nada ,72.0,yes
3,2024-03-03_18h37.35.448,Unsyncopated_study3,S133,18.0,feminino,right,España,Castellano y catalán,Upper secondary,no,no,B,1,when,L1,unsyncopated,when,when,3,Online_whenL1//c.ro4.0.wav,ro,ri,ni,sil,pu,be,la,sil1,fa,ze,sil2,"['catch', 'false alarm']","[0.5470000000000255, 0.9107000000476546]",[0.5470000000000255],0.0,beat,0.5470000000000255,0.5470000000000255,"[""space"",""space""]",ro,3,testWhenL1Uns//r1.s1.0.wav,1.0,when,unsyncopated,a,s1,rule,rule,L1,m,0.888,7.0,0.0,0.9322,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,3.0,3.0,5.0,yes,yes,yes,Piano,5,Trompeta,5,4. La música me hace compañía cuando estoy solo,4.0,nada ,72.0,yes
4,2024-03-03_18h37.35.448,Unsyncopated_study3,S133,18.0,feminino,right,España,Castellano y catalán,Upper secondary,no,no,B,1,when,L1,unsyncopated,when,when,4,Online_whenL1//b.ta23.none.wav,ni,fo,ri,sil,ki,la,be,sil1,ze,ne,sil2,['-'],,,none,none,,,,ta,2,testWhenL1Uns//time_viol.r2.s2.0.wav,1.0,when,unsyncopated,b,s2,no_rule,time,L1,m,1.2369,3.0,0.0,0.8084,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,3.0,3.0,5.0,yes,yes,yes,Piano,5,Trompeta,5,5. No me apetece bailar ni con la música que más me gusta,5.0,nada ,72.0,yes
5,2024-03-03_18h37.35.448,Unsyncopated_study3,S133,18.0,feminino,right,España,Castellano y catalán,Upper secondary,no,no,B,1,when,L1,unsyncopated,when,when,5,Online_whenL1//b.ta22.none.wav,be,ri,fo,sil,ne,ki,zu,sil1,fa,lu,sil2,['-'],,,none,none,,,,ta,2,testWhenL1Uns//dep_viol.r2.s2.0.wav,1.0,when,unsyncopated,b,s2,no_rule,dep,L1,z,0.1676,5.0,1.0,0.7895,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,3.0,3.0,5.0,yes,yes,yes,Piano,5,Trompeta,5,6. La música me hace conectar con la gente,4.0,nada ,72.0,yes
6,2024-03-03_18h37.35.448,Unsyncopated_study3,S133,18.0,feminino,right,España,Castellano y catalán,Upper secondary,no,no,B,1,when,L1,unsyncopated,when,when,6,Online_whenL1//b.ta20.1110.wav,zu,lu,fo,sil,ki,ta,ne,sil1,ri,la,sil2,['miss'],,,1.11,no_beat,,,,ta,2,testWhenL1Uns//cat_viol.r1.s2.0.wav,1.0,when,unsyncopated,a,s2,no_rule,cat,L1,z,0.2716,4.0,1.0,0.49,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,3.0,3.0,5.0,yes,yes,yes,Piano,5,Trompeta,5,7. Me informo sobre la música que me gusta.,2.0,nada ,72.0,yes
7,2024-03-03_18h37.35.448,Unsyncopated_study3,S133,18.0,feminino,right,España,Castellano y catalán,Upper secondary,no,no,B,1,when,L1,unsyncopated,when,when,7,Online_whenL1//b.ta21.1998.wav,fa,be,la,sil,zu,cho,fo,sil1,ni,ta,sil2,['catch_delay'],[0.8702999999522409],[0.8702999999522409],1.998,no_beat,0.8702999999522409,0.8702999999522409,,ta,2,testWhenL1Uns//r1.s1.2.wav,1.0,when,unsyncopated,a,s1,rule,rule,L1,m,0.6145,4.0,0.0,0.4187,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,3.0,3.0,5.0,yes,yes,yes,Piano,5,Trompeta,5,8.Me emociono escuchando ciertas canciones.,4.0,nada ,72.0,yes
8,2024-03-03_18h37.35.448,Unsyncopated_study3,S133,18.0,feminino,right,España,Castellano y catalán,Upper secondary,no,no,B,1,when,L1,unsyncopated,when,when,8,Online_whenL1//d.ne19.222.wav,ri,ne,ni,sil,cho,be,zu,sil1,pu,fa,sil2,['catch'],"[0.2042999999522408, 0.9896000001430139]",[0.9896000001430139],0.222,no_beat,0.7676000001430139,0.7676000001430139,"[""space"",""space""]",ne,4,testWhenL1Uns//r2.s1.1.wav,1.0,when,unsyncopated,b,s1,rule,rule,L1,z,1.1825,4.0,1.0,0.5038,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,3.0,3.0,5.0,yes,yes,yes,Piano,5,Trompeta,5,9.La música me tranquiliza y me relaja.,4.0,nada ,72.0,yes
9,2024-03-03_18h37.35.448,Unsyncopated_study3,S133,18.0,feminino,right,España,Castellano y catalán,Upper secondary,no,no,B,1,when,L1,unsyncopated,when,when,9,Online_whenL1//d.ne18.1998.wav,fo,ri,be,sil,ki,ze,la,sil1,lu,ne,sil2,['catch_delay'],[0.9429000000953385],[0.9429000000953385],1.998,no_beat,0.9429000000953384,0.9429000000953384,,ne,4,testWhenL1Uns//r1.s1.1.wav,1.0,when,unsyncopated,a,s1,rule,rule,L1,z,0.5213,6.0,1.0,1.5153,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,3.0,3.0,5.0,yes,yes,yes,Piano,5,Trompeta,5,10.La música me hace bailar,4.0,nada ,72.0,yes
