Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,lang_5,age_l5,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,preguntas_musica1,BMRQ_answer.response,BMRQ_Score,bilingual
0,2024-02-19_10h36.26.480,Unsyncopated_study2,s116,21.0,feminino,right,España,Castellano,Upper secondary,no,no,B,1,conjunction_syn,L1,syncopated,s2,r2,0,Online_conjL1_syn//b.ta.be3.666.1554.wav,lu,ro,zu,ta,sil,ne,fo,be,sil1,ni,sil2,['catch'],[2.3186999999285263],[2.3186999999285263],1.554,no_beat,0.7646999999285262,0.7646999999285262,"[""space""]",be,2,testConjL1Syn//r2.s1.1.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L1,z,0.3307,5.0,1.0,7.0421,5.0,2.0,castellano,0.0,catalán,0.0,ingles,5.0,frances,9.0,italiano,19.0,4.0,4.0,yes,yes,yes,flauta,8,piano,8,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,4.0,62.0,yes
1,2024-02-19_10h36.26.480,Unsyncopated_study2,s116,21.0,feminino,right,España,Castellano,Upper secondary,no,no,B,1,conjunction_syn,L1,syncopated,s2,r1,1,Online_conjL1_syn//b.ta.be2.none.none.wav,ri,ne,fo,pu,sil,zu,la,ki,sil1,lu,sil2,['-'],,,none,none,,,,be,2,testConjL1Syn//r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L1,z,1.7687,4.0,1.0,1.8184,5.0,2.0,castellano,0.0,catalán,0.0,ingles,5.0,frances,9.0,italiano,19.0,4.0,4.0,yes,yes,yes,flauta,8,piano,8,2. En mi tiempo libre apenas escucho música.,4.0,62.0,yes
2,2024-02-19_10h36.26.480,Unsyncopated_study2,s116,21.0,feminino,right,España,Castellano,Upper secondary,no,no,B,1,conjunction_syn,L1,syncopated,s2,r2,2,Online_conjL1_syn//b.ta.be0.666.1554.wav,cho,fa,fo,ta,sil,zu,la,be,sil1,ne,sil2,['catch'],[2.1722999999523154],[2.1722999999523154],1.554,no_beat,0.6182999999523153,0.6182999999523153,"[""space""]",be,2,testConjL1Syn//dep_viol.r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,no_rule,dep,L1,z,1.6855,5.0,0.0,3.5464,5.0,2.0,castellano,0.0,catalán,0.0,ingles,5.0,frances,9.0,italiano,19.0,4.0,4.0,yes,yes,yes,flauta,8,piano,8,3. Algunas canciones me ponen los pelos de punta,4.0,62.0,yes
3,2024-02-19_10h36.26.480,Unsyncopated_study2,s116,21.0,feminino,right,España,Castellano,Upper secondary,no,no,B,1,conjunction_syn,L1,syncopated,s2,r2,3,Online_conjL1_syn//b.ta.be1.666.1554.wav,ni,la,lu,ta,sil,cho,ro,be,sil1,ne,sil2,['catch'],[2.210199999928477],[2.210199999928477],1.554,no_beat,0.6561999999284771,0.6561999999284771,"[""space""]",be,2,testConjL1Syn//r1.s1.2.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L1,z,1.5019,5.0,1.0,1.3699,5.0,2.0,castellano,0.0,catalán,0.0,ingles,5.0,frances,9.0,italiano,19.0,4.0,4.0,yes,yes,yes,flauta,8,piano,8,4. La música me hace compañía cuando estoy solo,4.0,62.0,yes
4,2024-02-19_10h36.26.480,Unsyncopated_study2,s116,21.0,feminino,right,España,Castellano,Upper secondary,no,no,B,1,conjunction_syn,L1,syncopated,s1,r1,4,Online_conjL1_syn//b.ta.be12.none.none.wav,pu,ro,lu,ki,sil,ri,fa,ni,sil1,cho,sil2,['-'],,,none,none,,,,be,2,testConjL1Syn//dep_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,dep,L1,z,0.8657,5.0,0.0,2.5985,5.0,2.0,castellano,0.0,catalán,0.0,ingles,5.0,frances,9.0,italiano,19.0,4.0,4.0,yes,yes,yes,flauta,8,piano,8,5. No me apetece bailar ni con la música que más me gusta,5.0,62.0,yes
5,2024-02-19_10h36.26.480,Unsyncopated_study2,s116,21.0,feminino,right,España,Castellano,Upper secondary,no,no,B,1,conjunction_syn,L1,syncopated,s1,r2,5,Online_conjL1_syn//b.ta.be13.0.666.wav,ta,ni,fo,be,sil,ze,ne,fa,sil1,ri,sil2,['catch'],[1.5116000000238046],[1.5116000000238046],0.666,no_beat,0.8456000000238045,0.8456000000238045,"[""space""]",be,2,testConjL1Syn//cat_viol.r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,no_rule,cat,L1,m,3.8869,3.0,1.0,2.7704,5.0,2.0,castellano,0.0,catalán,0.0,ingles,5.0,frances,9.0,italiano,19.0,4.0,4.0,yes,yes,yes,flauta,8,piano,8,6. La música me hace conectar con la gente,3.0,62.0,yes
6,2024-02-19_10h36.26.480,Unsyncopated_study2,s116,21.0,feminino,right,España,Castellano,Upper secondary,no,no,B,1,conjunction_syn,L1,syncopated,s1,r2,6,Online_conjL1_syn//b.ta.be14.0.666.wav,ta,la,fa,be,sil,ni,fo,ro,sil1,lu,sil2,['catch'],[1.31899999999996],[1.31899999999996],0.666,no_beat,0.65299999999996,0.65299999999996,"[""space""]",be,2,testConjL1Syn//r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,rule,rule,L1,z,0.8356,4.0,1.0,1.5521,5.0,2.0,castellano,0.0,catalán,0.0,ingles,5.0,frances,9.0,italiano,19.0,4.0,4.0,yes,yes,yes,flauta,8,piano,8,7. Me informo sobre la música que me gusta.,3.0,62.0,yes
7,2024-02-19_10h36.26.480,Unsyncopated_study2,s116,21.0,feminino,right,España,Castellano,Upper secondary,no,no,B,1,conjunction_syn,L1,syncopated,s2,r1,7,Online_conjL1_syn//b.ta.be15.none.none.wav,la,ni,lu,pu,sil,ri,cho,ki,sil1,fa,sil2,['-'],,,none,none,,,,be,2,testConjL1Syn//r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L1,m,1.4192,3.0,0.0,90.3862,5.0,2.0,castellano,0.0,catalán,0.0,ingles,5.0,frances,9.0,italiano,19.0,4.0,4.0,yes,yes,yes,flauta,8,piano,8,8.Me emociono escuchando ciertas canciones.,3.0,62.0,yes
8,2024-02-19_10h36.26.480,Unsyncopated_study2,s116,21.0,feminino,right,España,Castellano,Upper secondary,no,no,B,1,conjunction_syn,L1,syncopated,s2,r2,8,Online_conjL1_syn//b.ta.be16.666.1554.wav,ro,ne,lu,ta,sil,la,ri,be,sil1,fo,sil2,['catch'],[2.2046999999284935],[2.2046999999284935],1.554,no_beat,0.6506999999284935,0.6506999999284935,"[""space""]",be,2,testConjL1Syn//r1.s1.1.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L1,z,4.1657,3.0,1.0,1.1525,5.0,2.0,castellano,0.0,catalán,0.0,ingles,5.0,frances,9.0,italiano,19.0,4.0,4.0,yes,yes,yes,flauta,8,piano,8,9.La música me tranquiliza y me relaja.,3.0,62.0,yes
9,2024-02-19_10h36.26.480,Unsyncopated_study2,s116,21.0,feminino,right,España,Castellano,Upper secondary,no,no,B,1,conjunction_syn,L1,syncopated,s2,r2,9,Online_conjL1_syn//b.ta.be19.666.1554.wav,fa,la,ni,ta,sil,cho,ne,be,sil1,ri,sil2,['catch'],[2.2921000000237655],[2.2921000000237655],1.554,no_beat,0.7381000000237654,0.7381000000237654,"[""space""]",be,2,testConjL1Syn//time_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,time,L1,m,1.5202,4.0,1.0,1.4,5.0,2.0,castellano,0.0,catalán,0.0,ingles,5.0,frances,9.0,italiano,19.0,4.0,4.0,yes,yes,yes,flauta,8,piano,8,10.La música me hace bailar,3.0,62.0,yes
