Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,instr_4,age_M4,preguntas_musica1,BMRQ_answer.response,BMRQ_Score,bilingual
0,2024-02-24_12h25.56.080,Unsyncopated_study3,s122,19.0,feminino,right,españa,castellano,Upper secondary,no,no,A,1,when,L1,unsyncopated,when,when,0,Online_whenL1//a.ki11.none.wav,cho,la,pu,sil,zu,ta,ro,sil1,ni,ri,sil2,['-'],,,none,none,,,,ki,2,testWhenL1Uns//r1.s2.0.wav,1.0,when,unsyncopated,a,s2,rule,rule,L1,z,1.456,6.0,1.0,4.4695,4.0,2.0,castellano,0.0,inglés,6.0,catalán,15.0,alemán,18.0,4.0,2.0,yes,no,yes,flauta,8,guitarra,8,piano,8,ukelele,15.0,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,80.0,yes
1,2024-02-24_12h25.56.080,Unsyncopated_study3,s122,19.0,feminino,right,españa,castellano,Upper secondary,no,no,A,1,when,L1,unsyncopated,when,when,1,Online_whenL1//a.ki9.none.wav,la,ro,ze,sil,cho,fa,pu,sil1,ne,ta,sil2,['-'],,,none,none,,,,ki,2,testWhenL1Uns//r2.s2.2.wav,1.0,when,unsyncopated,b,s2,rule,rule,L1,z,1.6059,6.0,1.0,3.5425,4.0,2.0,castellano,0.0,inglés,6.0,catalán,15.0,alemán,18.0,4.0,2.0,yes,no,yes,flauta,8,guitarra,8,piano,8,ukelele,15.0,2. En mi tiempo libre apenas escucho música.,5.0,80.0,yes
2,2024-02-24_12h25.56.080,Unsyncopated_study3,s122,19.0,feminino,right,españa,castellano,Upper secondary,no,no,A,1,when,L1,unsyncopated,when,when,2,Online_whenL1//a.ki10.222.wav,ro,ki,be,sil,la,ri,lu,sil1,fo,fa,sil2,['catch'],[0.8239000000058923],[0.8239000000058923],0.222,no_beat,0.6019000000058923,0.6019000000058923,"[""space""]",ki,2,testWhenL1Uns//r2.s1.1.wav,1.0,when,unsyncopated,b,s1,rule,rule,L1,z,0.9086,6.0,1.0,2.1717,4.0,2.0,castellano,0.0,inglés,6.0,catalán,15.0,alemán,18.0,4.0,2.0,yes,no,yes,flauta,8,guitarra,8,piano,8,ukelele,15.0,3. Algunas canciones me ponen los pelos de punta,4.0,80.0,yes
3,2024-02-24_12h25.56.080,Unsyncopated_study3,s122,19.0,feminino,right,españa,castellano,Upper secondary,no,no,A,1,when,L1,unsyncopated,when,when,3,Online_whenL1//a.ki8.none.wav,ne,fo,zu,sil,pu,be,ni,sil1,ze,la,sil2,['-'],,,none,none,,,,ki,2,testWhenL1Uns//dep_viol.r1.s2.0.wav,1.0,when,unsyncopated,a,s2,no_rule,dep,L1,m,4.5549,2.0,0.0,2.7939,4.0,2.0,castellano,0.0,inglés,6.0,catalán,15.0,alemán,18.0,4.0,2.0,yes,no,yes,flauta,8,guitarra,8,piano,8,ukelele,15.0,4. La música me hace compañía cuando estoy solo,4.0,80.0,yes
4,2024-02-24_12h25.56.080,Unsyncopated_study3,s122,19.0,feminino,right,españa,castellano,Upper secondary,no,no,A,1,when,L1,unsyncopated,when,when,4,Online_whenL1//a.ki28.1998.wav,la,fa,ze,sil,zu,ta,ri,sil1,ni,ki,sil2,['catch'],[2.491199999988112],[2.491199999988112],1.998,no_beat,0.4931999999881118,0.4931999999881118,"[""space""]",ki,2,testWhenL1Uns//time_viol.r2.s1.0.wav,1.0,when,unsyncopated,b,s1,no_rule,time,L1,z,0.7997,5.0,1.0,2.9606,4.0,2.0,castellano,0.0,inglés,6.0,catalán,15.0,alemán,18.0,4.0,2.0,yes,no,yes,flauta,8,guitarra,8,piano,8,ukelele,15.0,5. No me apetece bailar ni con la música que más me gusta,5.0,80.0,yes
5,2024-02-24_12h25.56.080,Unsyncopated_study3,s122,19.0,feminino,right,españa,castellano,Upper secondary,no,no,A,1,when,L1,unsyncopated,when,when,5,Online_whenL1//a.ki29.none.wav,be,fa,ta,sil,zu,lu,ze,sil1,ri,ro,sil2,['-'],,,none,none,,,,ki,2,testWhenL1Uns//r2.s2.0.wav,1.0,when,unsyncopated,b,s2,rule,rule,L1,m,0.5748,2.0,0.0,2.4007,4.0,2.0,castellano,0.0,inglés,6.0,catalán,15.0,alemán,18.0,4.0,2.0,yes,no,yes,flauta,8,guitarra,8,piano,8,ukelele,15.0,6. La música me hace conectar con la gente,4.0,80.0,yes
6,2024-02-24_12h25.56.080,Unsyncopated_study3,s122,19.0,feminino,right,españa,castellano,Upper secondary,no,no,A,1,when,L1,unsyncopated,when,when,6,Online_whenL1//a.ki30.none.wav,ta,fa,ze,sil,pu,ne,fo,sil1,ni,zu,sil2,['-'],,,none,none,,,,ki,2,testWhenL1Uns//r1.s1.2.wav,1.0,when,unsyncopated,a,s1,rule,rule,L1,m,1.0176,2.0,0.0,1.4562,4.0,2.0,castellano,0.0,inglés,6.0,catalán,15.0,alemán,18.0,4.0,2.0,yes,no,yes,flauta,8,guitarra,8,piano,8,ukelele,15.0,7. Me informo sobre la música que me gusta.,4.0,80.0,yes
7,2024-02-24_12h25.56.080,Unsyncopated_study3,s122,19.0,feminino,right,españa,castellano,Upper secondary,no,no,A,1,when,L1,unsyncopated,when,when,7,Online_whenL1//a.ki31.0.wav,ki,ze,cho,sil,ri,lu,ta,sil1,ro,fa,sil2,['catch'],[0.5506999999880691],[0.5506999999880691],0.0,beat,0.5506999999880691,0.5506999999880691,"[""space""]",ki,2,testWhenL1Uns//cat_viol.r1.s1.0.wav,1.0,when,unsyncopated,a,s1,no_rule,cat,L1,m,1.8187,2.0,0.0,1.3508,4.0,2.0,castellano,0.0,inglés,6.0,catalán,15.0,alemán,18.0,4.0,2.0,yes,no,yes,flauta,8,guitarra,8,piano,8,ukelele,15.0,8.Me emociono escuchando ciertas canciones.,4.0,80.0,yes
8,2024-02-24_12h25.56.080,Unsyncopated_study3,s122,19.0,feminino,right,españa,castellano,Upper secondary,no,no,A,1,when,L1,unsyncopated,when,when,8,Online_whenL1//a.ki2.none.wav,zu,ne,ta,sil,ri,be,ni,sil1,fo,lu,sil2,['-'],,,none,none,,,,ki,2,testWhenL1Uns//r2.s1.0.wav,1.0,when,unsyncopated,b,s1,rule,rule,L1,z,1.492,4.0,1.0,2.8157,4.0,2.0,castellano,0.0,inglés,6.0,catalán,15.0,alemán,18.0,4.0,2.0,yes,no,yes,flauta,8,guitarra,8,piano,8,ukelele,15.0,9.La música me tranquiliza y me relaja.,4.0,80.0,yes
9,2024-02-24_12h25.56.080,Unsyncopated_study3,s122,19.0,feminino,right,españa,castellano,Upper secondary,no,no,A,1,when,L1,unsyncopated,when,when,9,Online_whenL1//a.ki3.1110.wav,ri,ni,fa,sil,cho,ki,ze,sil1,fo,ta,sil2,['catch'],[1.5483000000119773],[1.5483000000119773],1.11,no_beat,0.4383000000119772,0.4383000000119772,"[""space""]",ki,2,testWhenL1Uns//time_viol.r2.s2.0.wav,1.0,when,unsyncopated,b,s2,no_rule,time,L1,z,1.5128,3.0,1.0,0.4021,4.0,2.0,castellano,0.0,inglés,6.0,catalán,15.0,alemán,18.0,4.0,2.0,yes,no,yes,flauta,8,guitarra,8,piano,8,ukelele,15.0,10.La música me hace bailar,4.0,80.0,yes
