Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,lang_5,age_l5,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,1,conjunction_syn,L2,syncopated,s2,r2,0,Online_conjL2_syn//a.go.du30.none.none.wav,to,ñu,me,fe,sil,bi,ño,ra,sil1,su,sil2,['-'],,,none,none,,,,go,1,testConjL2Syn//time_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,time,L2,z,3.147,4.0,0.0,5.849,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,4.0,Nada,68.0,yes
1,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,1,Online_conjL2_syn//a.go.du29.0.666.wav,go,ñu,su,du,sil,si,me,to,sil1,bi,sil2,['catch'],[0.5350000000000819],[0.5350000000000819],0.0,beat,0.5350000000000819,0.5350000000000819,"[""space""]",go,1,testConjL2Syn//r1.s1.1.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L2,z,4.341,5.0,1.0,2.233,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,2. En mi tiempo libre apenas escucho música.,5.0,Nada,68.0,yes
2,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,1,conjunction_syn,L2,syncopated,s2,r2,2,Online_conjL2_syn//a.go.du28.none.none.wav,me,su,ba,fe,sil,mi,to,ra,sil1,cha,sil2,['-'],,,none,none,,,,go,1,testConjL2Syn//r2.s1.1.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L2,m,1.701,6.0,0.0,2.969,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,3. Algunas canciones me ponen los pelos de punta,3.0,Nada,68.0,yes
3,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,3,Online_conjL2_syn//a.go.du31.0.666.wav,go,ba,su,du,sil,ñu,si,bi,sil1,me,sil2,['catch'],[0.5099999999999909],[0.5099999999999909],0.0,beat,0.5099999999999909,0.5099999999999909,"[""space""]",go,1,testConjL2Syn//cat_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,cat,L2,z,5.935,4.0,0.0,1.334,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,4. La música me hace compañía cuando estoy solo,3.0,Nada,68.0,yes
4,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,4,Online_conjL2_syn//b.fe.ra25.none.none.wav,go,to,mi,du,sil,me,ba,si,sil1,su,sil2,['false alarm'],[0.6870000000001255],[0.6870000000001255],none,none,,,"[""space""]",ra,2,testConjL2Syn//r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L2,m,5.11,5.0,0.0,2.354,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,5. No me apetece bailar ni con la música que más me gusta,5.0,Nada,68.0,yes
5,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,1,conjunction_syn,L2,syncopated,s1,r2,5,Online_conjL2_syn//b.fe.ra27.0.666.wav,fe,ñu,si,ra,sil,ño,to,te,sil1,su,sil2,['miss'],,,0.666,no_beat,,,,ra,2,testConjL2Syn//dep_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,dep,L2,z,1.305,5.0,0.0,1.62,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,6. La música me hace conectar con la gente,4.0,Nada,68.0,yes
6,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,1,conjunction_syn,L2,syncopated,s2,r1,6,Online_conjL2_syn//b.fe.ra24.none.none.wav,ñu,me,cha,go,sil,ba,to,du,sil1,si,sil2,['false alarm'],[1.83400000000006],[1.83400000000006],none,none,,,"[""space""]",ra,2,testConjL2Syn//r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,rule,rule,L2,z,0.981,6.0,1.0,1.3,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,7. Me informo sobre la música que me gusta.,2.0,Nada,68.0,yes
7,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,7,Online_conjL2_syn//b.fe.ra26.none.none.wav,go,ño,mi,du,sil,me,si,bi,sil1,ba,sil2,['false alarm'],[0.7520000000001801],[0.7520000000001801],none,none,,,"[""space""]",ra,2,testConjL2Syn//r1.s1.2.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L2,z,1.126,7.0,1.0,0.749,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,8.Me emociono escuchando ciertas canciones.,3.0,Nada,68.0,yes
8,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,1,conjunction_syn,L2,syncopated,s1,r1,8,Online_conjL2_syn//c.cha.me10.none.none.wav,go,te,bi,du,sil,si,ño,ba,sil1,to,sil2,['false alarm'],[0.4619999999999891],[0.4619999999999891],none,none,,,"[""space""]",me,3,testConjL2Syn//dep_viol.r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,no_rule,dep,L2,m,5.769,4.0,1.0,4.113,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,9.La música me tranquiliza y me relaja.,2.0,Nada,68.0,yes
9,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,1,conjunction_syn,L2,syncopated,s1,r2,9,Online_conjL2_syn//c.cha.me11.1554.1110.wav,fe,mi,ñu,ra,sil,me,si,cha,sil1,ba,sil2,['catch'],[1.6009999999998854],[1.6009999999998854],1.11,no_beat,0.4909999999998853,0.4909999999998853,"[""space""]",me,3,testConjL2Syn//r2.s2.2.wav,1.0,conjunction_syn,syncopated,b,s2,rule,rule,L2,m,3.283,5.0,0.0,2.052,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,10.La música me hace bailar,4.0,Nada,68.0,yes
