Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,preguntas_musica1,BMRQ_answer.response,BMRQ_Score,bilingual
0,2024-04-16_10h15.26.230,Experiment4_uns,s156,22.0,feminino,left,Suecia,Catalan y español ,Master degree,no,no,A,1,conjunction_un,L4,unsyncopated,s2,r1,0,Online_conjL4_un//b.ja.nu4.none.none.wav,ru,pe,bo,sil,zi,ña,ci,sil1,lo,da,sil2,['-'],,,none,none,,,,ja,1,testConjL4Uns//r2.s1.0.wav,1.0,conjunction_un,unsyncopated,b,s1,rule,rule,L4,z,2.2907,7.0,1.0,3.4853,3.0,3.0,Catalan ,0.0,Español ,0 ,Inglés ,5.0,Sueco ,22.0,5.0,4.0,yes,yes,yes,Flauta dulce ,6,Guitarra,6,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,4.0,72.0,yes
1,2024-04-16_10h15.26.230,Experiment4_uns,s156,22.0,feminino,left,Suecia,Catalan y español ,Master degree,no,no,A,1,conjunction_un,L4,unsyncopated,s1,r1,1,Online_conjL4_un//b.ja.nu5.none.none.wav,zi,ci,ñi,sil,lo,bo,da,sil1,po,ña,sil2,['false alarm'],[2.5256999998092624],[2.5256999998092624],none,none,,,"[""space""]",ja,1,testConjL4Uns//r1.s1.2.wav,1.0,conjunction_un,unsyncopated,a,s1,rule,rule,L4,z,2.3654,6.0,1.0,2.6993,3.0,3.0,Catalan ,0.0,Español ,0 ,Inglés ,5.0,Sueco ,22.0,5.0,4.0,yes,yes,yes,Flauta dulce ,6,Guitarra,6,2. En mi tiempo libre apenas escucho música.,4.0,72.0,yes
2,2024-04-16_10h15.26.230,Experiment4_uns,s156,22.0,feminino,left,Suecia,Catalan y español ,Master degree,no,no,A,1,conjunction_un,L4,unsyncopated,s1,r1,2,Online_conjL4_un//b.ja.nu6.none.none.wav,zi,de,bo,sil,lo,ñi,da,sil1,ña,bu,sil2,['false alarm'],[2.5177999997139295],[2.5177999997139295],none,none,,,"[""space""]",ja,1,testConjL4Uns//r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,rule,rule,L4,z,1.3349,4.0,1.0,3.6028,3.0,3.0,Catalan ,0.0,Español ,0 ,Inglés ,5.0,Sueco ,22.0,5.0,4.0,yes,yes,yes,Flauta dulce ,6,Guitarra,6,3. Algunas canciones me ponen los pelos de punta,4.0,72.0,yes
3,2024-04-16_10h15.26.230,Experiment4_uns,s156,22.0,feminino,left,Suecia,Catalan y español ,Master degree,no,no,A,1,conjunction_un,L4,unsyncopated,s2,r2,3,Online_conjL4_un//b.ja.nu7.888.1776.wav,pe,bu,bo,sil,ja,de,da,sil1,nu,ña,sil2,['miss'],,,0.888,beat,,,,ja,1,testConjL4Uns//dep_viol.r1.s2.0.wav,1.0,conjunction_un,unsyncopated,a,s2,no_rule,dep,L4,m,1.5083,5.0,1.0,1.5231,3.0,3.0,Catalan ,0.0,Español ,0 ,Inglés ,5.0,Sueco ,22.0,5.0,4.0,yes,yes,yes,Flauta dulce ,6,Guitarra,6,4. La música me hace compañía cuando estoy solo,3.0,72.0,yes
4,2024-04-16_10h15.26.230,Experiment4_uns,s156,22.0,feminino,left,Suecia,Catalan y español ,Master degree,no,no,A,1,conjunction_un,L4,unsyncopated,s1,r1,4,Online_conjL4_un//c.bu.da2.none.none.wav,zi,pe,ci,sil,lo,de,ña,sil1,ñi,re,sil2,['false alarm'],[0.0724999999999909],[0.0724999999999909],none,none,,,"[""space""]",bu,3,testConjL4Uns//time_viol.r2.s2.0.wav,1.0,conjunction_un,unsyncopated,b,s2,no_rule,time,L4,m,1.1404,6.0,1.0,1.8577,3.0,3.0,Catalan ,0.0,Español ,0 ,Inglés ,5.0,Sueco ,22.0,5.0,4.0,yes,yes,yes,Flauta dulce ,6,Guitarra,6,5. No me apetece bailar ni con la música que más me gusta,5.0,72.0,yes
5,2024-04-16_10h15.26.230,Experiment4_uns,s156,22.0,feminino,left,Suecia,Catalan y español ,Master degree,no,no,A,1,conjunction_un,L4,unsyncopated,s2,r2,5,Online_conjL4_un//c.bu.da3.444.1110.wav,po,pe,bu,sil,ja,da,ci,sil1,nu,de,sil2,['catch'],[0.8859000000953756],[0.8859000000953756],0.444,no_beat,0.4419000000953756,0.4419000000953756,"[""space""]",bu,3,testConjL4Uns//cat_viol.r2.s2.0.wav,1.0,conjunction_un,unsyncopated,b,s2,no_rule,cat,L4,m,2.6835,6.0,1.0,2.0051,3.0,3.0,Catalan ,0.0,Español ,0 ,Inglés ,5.0,Sueco ,22.0,5.0,4.0,yes,yes,yes,Flauta dulce ,6,Guitarra,6,6. La música me hace conectar con la gente,4.0,72.0,yes
6,2024-04-16_10h15.26.230,Experiment4_uns,s156,22.0,feminino,left,Suecia,Catalan y español ,Master degree,no,no,A,1,conjunction_un,L4,unsyncopated,s1,r1,6,Online_conjL4_un//c.bu.da0.none.none.wav,zi,ña,ru,sil,lo,re,ñi,sil1,bo,ci,sil2,['false alarm'],[1.0701999998092333],[1.0701999998092333],none,none,,,"[""space""]",bu,3,testConjL4Uns//dep_viol.r2.s1.0.wav,1.0,conjunction_un,unsyncopated,b,s1,no_rule,dep,L4,z,2.249,3.0,0.0,1.0709,3.0,3.0,Catalan ,0.0,Español ,0 ,Inglés ,5.0,Sueco ,22.0,5.0,4.0,yes,yes,yes,Flauta dulce ,6,Guitarra,6,7. Me informo sobre la música que me gusta.,3.0,72.0,yes
7,2024-04-16_10h15.26.230,Experiment4_uns,s156,22.0,feminino,left,Suecia,Catalan y español ,Master degree,no,no,A,1,conjunction_un,L4,unsyncopated,s1,r1,7,Online_conjL4_un//c.bu.da1.none.none.wav,zi,bo,po,sil,lo,re,ci,sil1,ñi,pe,sil2,['-'],,,none,none,,,,bu,3,testConjL4Uns//r1.s2.0.wav,1.0,conjunction_un,unsyncopated,a,s2,rule,rule,L4,z,4.1215,3.0,1.0,0.868,3.0,3.0,Catalan ,0.0,Español ,0 ,Inglés ,5.0,Sueco ,22.0,5.0,4.0,yes,yes,yes,Flauta dulce ,6,Guitarra,6,8.Me emociono escuchando ciertas canciones.,4.0,72.0,yes
8,2024-04-16_10h15.26.230,Experiment4_uns,s156,22.0,feminino,left,Suecia,Catalan y español ,Master degree,no,no,A,1,conjunction_un,L4,unsyncopated,s1,r1,8,Online_conjL4_un//c.bu.da28.1776.1110.wav,zi,re,ru,sil,lo,da,pe,sil1,bu,ña,sil2,['catch'],[2.172800000190705],[2.172800000190705],1.776,beat,0.3968000001907048,0.3968000001907048,"[""space""]",bu,3,testConjL4Uns//dep_viol.r2.s2.0.wav,1.0,conjunction_un,unsyncopated,b,s2,no_rule,dep,L4,m,1.9552,4.0,1.0,1.1162,3.0,3.0,Catalan ,0.0,Español ,0 ,Inglés ,5.0,Sueco ,22.0,5.0,4.0,yes,yes,yes,Flauta dulce ,6,Guitarra,6,9.La música me tranquiliza y me relaja.,4.0,72.0,yes
9,2024-04-16_10h15.26.230,Experiment4_uns,s156,22.0,feminino,left,Suecia,Catalan y español ,Master degree,no,no,A,1,conjunction_un,L4,unsyncopated,s2,r2,9,Online_conjL4_un//c.bu.da29.none.none.wav,bo,ña,re,sil,ja,ci,ru,sil1,nu,ñi,sil2,"['false alarm', 'false alarm']","[0.6442999997138941, 1.894299999713894]",1.894299999713894,none,none,,,"[""space"",""space""]",bu,3,testConjL4Uns//r1.s1.1.wav,1.0,conjunction_un,unsyncopated,a,s1,rule,rule,L4,m,1.0167,7.0,0.0,1.5213,3.0,3.0,Catalan ,0.0,Español ,0 ,Inglés ,5.0,Sueco ,22.0,5.0,4.0,yes,yes,yes,Flauta dulce ,6,Guitarra,6,10.La música me hace bailar,4.0,72.0,yes
