Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,age_M5,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,1,what,L1,unsyncopated,s1,r2,0,Online_whatL1//b.ta.be12.0.888.wav,ta,fo,lu,sil,be,zu,fa,sil2,cho,ne,sil1,['catch'],[1.38069999998811],[1.38069999998811],0.888,beat,0.49269999998811,0.49269999998811,"[""space""]",be,2,testWhatL1Uns//r2.s2.0.wav,1.0,what,unsyncopated,b,s2,rule,rule,L1,z,5.7565,4.0,1.0,8.4396,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,nada,65.0,yes
1,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,1,what,L1,unsyncopated,s2,r1,1,Online_whatL1//b.ta.be14.none.none.wav,cho,zu,fo,sil2,pu,ne,ri,sil,ki,ni,sil1,['-'],,,none,none,,,,be,2,testWhatL1Uns//r1.s1.1.wav,1.0,what,unsyncopated,a,s1,rule,rule,L1,z,2.6711,4.0,1.0,1.0508,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,2. En mi tiempo libre apenas escucho música.,5.0,nada,65.0,yes
2,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,1,what,L1,unsyncopated,s1,r1,2,Online_whatL1//b.ta.be15.none.none.wav,pu,ne,lu,sil2,ki,fo,la,sil,fa,ze,sil1,['-'],,,none,none,,,,be,2,testWhatL1Uns//dep_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,dep,L1,z,1.9091,7.0,0.0,3.2936,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,3. Algunas canciones me ponen los pelos de punta,3.0,nada,65.0,yes
3,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,1,what,L1,unsyncopated,s2,r2,3,Online_whatL1//b.ta.be13.888.1998.wav,cho,fa,ro,sil,ta,lu,zu,sil2,be,fo,sil1,['catch_delay'],[0.6978000000119129],[0.6978000000119129],1.998,no_beat,0.6978000000119129,0.6978000000119129,,be,2,testWhatL1Uns//dep_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,dep,L1,z,1.1332,7.0,0.0,0.5335,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,4. La música me hace compañía cuando estoy solo,4.0,nada,65.0,yes
4,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,1,what,L1,unsyncopated,s2,r1,4,Online_whatL1//a.pu.ki10.888.1776.wav,ni,la,lu,sil,pu,zu,ze,sil1,ki,ne,sil2,['catch'],"[0.031800000011912744, 1.8159999999999172]",[1.8159999999999172],0.888,beat,0.9279999999999172,0.9279999999999172,"[""space"",""space""]",pu,1,testWhatL1Uns//r1.s2.2.wav,1.0,what,unsyncopated,a,s2,rule,rule,L1,m,6.466,2.0,0.0,2.6011,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,5. No me apetece bailar ni con la música que más me gusta,5.0,nada,65.0,yes
5,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,1,what,L1,unsyncopated,s1,r2,5,Online_whatL1//a.pu.ki11.none.none.wav,ta,lu,ri,sil,be,la,fa,sil1,ne,ze,sil2,['-'],,,none,none,,,,pu,1,testWhatL1Uns//cat_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,cat,L1,m,5.0506,2.0,1.0,0.4254,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,6. La música me hace conectar con la gente,4.0,nada,65.0,yes
6,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,1,what,L1,unsyncopated,s1,r2,6,Online_whatL1//a.pu.ki9.none.none.wav,ta,ne,la,sil2,be,zu,ze,sil,fo,lu,sil1,['-'],,,none,none,,,,pu,1,testWhatL1Uns//r1.s1.2.wav,1.0,what,unsyncopated,a,s1,rule,rule,L1,z,1.0345,7.0,1.0,0.8842,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,7. Me informo sobre la música que me gusta.,4.0,nada,65.0,yes
7,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,1,what,L1,unsyncopated,s2,r1,7,Online_whatL1//a.pu.ki8.1110.1998.wav,ri,ro,cho,sil2,pu,zu,ne,sil,ki,lu,sil1,['catch'],[1.687100000023861],[1.687100000023861],1.11,no_beat,0.5771000000238609,0.5771000000238609,"[""space""]",pu,1,testWhatL1Uns//cat_viol.r2.s1.0.wav,1.0,what,unsyncopated,b,s1,no_rule,cat,L1,z,1.3207,5.0,0.0,4.1496,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,8.Me emociono escuchando ciertas canciones.,4.0,nada,65.0,yes
8,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,1,what,L1,unsyncopated,s2,r2,8,Online_whatL1//a.pu.ki18.none.none.wav,zu,ne,cho,sil,ta,fo,ri,sil1,be,fa,sil2,['-'],,,none,none,,,,pu,1,testWhatL1Uns//r1.s2.0.wav,1.0,what,unsyncopated,a,s2,rule,rule,L1,m,5.5995,2.0,0.0,1.8673,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,9.La música me tranquiliza y me relaja.,4.0,nada,65.0,yes
9,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,1,what,L1,unsyncopated,s1,r1,9,Online_whatL1//a.pu.ki16.0.888.wav,pu,cho,ze,sil,ki,ri,ni,sil1,lu,fa,sil2,['catch'],[0.7323000000119464],[0.7323000000119464],0.0,beat,0.7323000000119464,0.7323000000119464,"[""space""]",pu,1,testWhatL1Uns//time_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,time,L1,m,1.8504,2.0,1.0,1.1261,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,10.La música me hace bailar,4.0,nada,65.0,yes
