Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,lang_5,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,1,conjunction_un,L4,unsyncopated,s1,r2,0,Online_conjL4_un//a.zi.lo19.none.none.wav,ja,bo,po,sil,nu,pe,re,sil1,ci,ña,sil2,['-'],,,none,none,,,,zi,1,testConjL4Uns//cat_viol.r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,no_rule,cat,L4,z,2.0074,6.0,0.0,1.4287,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0, ha estabo bien ,53.0,yes
1,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,1,conjunction_un,L4,unsyncopated,s2,r1,1,Online_conjL4_un//a.zi.lo18.888.1776.wav,po,da,ña,sil,zi,re,ci,sil1,lo,de,sil2,['catch'],[1.7767000000029611],[1.7767000000029611],0.888,beat,0.8887000000029611,0.8887000000029611,"[""space""]",zi,1,testConjL4Uns//r2.s2.0.wav,1.0,conjunction_un,unsyncopated,b,s2,rule,rule,L4,z,1.5327,7.0,1.0,0.9669,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,2. En mi tiempo libre apenas escucho música.,4.0, ha estabo bien ,53.0,yes
2,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,1,conjunction_un,L4,unsyncopated,s2,r2,2,Online_conjL4_un//a.zi.lo17.none.none.wav,re,pe,ru,sil,ja,bu,ña,sil1,nu,po,sil2,['-'],,,none,none,,,,zi,1,testConjL4Uns//dep_viol.r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,no_rule,dep,L4,m,2.0488,5.0,1.0,1.266,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,3. Algunas canciones me ponen los pelos de punta,3.0, ha estabo bien ,53.0,yes
3,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,1,conjunction_un,L4,unsyncopated,s1,r1,3,Online_conjL4_un//a.zi.lo16.0.888.wav,zi,ci,ru,sil,lo,bu,de,sil1,da,po,sil2,['catch'],[0.5458999999985394],[0.5458999999985394],0.0,beat,0.5458999999985394,0.5458999999985394,"[""space""]",zi,1,testConjL4Uns//r2.s2.1.wav,1.0,conjunction_un,unsyncopated,b,s2,rule,rule,L4,z,2.1281,6.0,1.0,0.3514,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,4. La música me hace compañía cuando estoy solo,3.0, ha estabo bien ,53.0,yes
4,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,1,conjunction_un,L4,unsyncopated,s2,r1,4,Online_conjL4_un//d.pe.po11.1110.222.wav,bo,po,da,sil,zi,pe,de,sil1,lo,ñi,sil2,['miss'],,,0.222,no_beat,,,,po,4,testConjL4Uns//cat_viol.r1.s2.0.wav,1.0,conjunction_un,unsyncopated,a,s2,no_rule,cat,L4,z,3.0112,5.0,0.0,0.469,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,5. No me apetece bailar ni con la música que más me gusta,3.0, ha estabo bien ,53.0,yes
5,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,1,conjunction_un,L4,unsyncopated,s2,r1,5,Online_conjL4_un//d.pe.po8.none.none.wav,ña,re,ci,sil,zi,ru,ñi,sil1,lo,de,sil2,['-'],,,none,none,,,,po,4,testConjL4Uns//r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,rule,rule,L4,z,1.0289,6.0,1.0,0.9167,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,6. La música me hace conectar con la gente,3.0, ha estabo bien ,53.0,yes
6,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,1,conjunction_un,L4,unsyncopated,s2,r2,6,Online_conjL4_un//d.pe.po10.1332.444.wav,re,ñi,po,sil,ja,bu,pe,sil1,nu,ru,sil2,['catch'],[1.3059999999999832],[1.3059999999999832],0.444,no_beat,0.8619999999999832,0.8619999999999832,"[""space""]",po,4,testConjL4Uns//time_viol.r1.s2.0.wav,1.0,conjunction_un,unsyncopated,a,s2,no_rule,time,L4,z,1.5042,5.0,0.0,0.9151,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,7. Me informo sobre la música que me gusta.,1.0, ha estabo bien ,53.0,yes
7,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,1,conjunction_un,L4,unsyncopated,s1,r1,7,Online_conjL4_un//d.pe.po9.222.1110.wav,zi,pe,bo,sil,lo,po,de,sil1,ru,re,sil2,['catch'],[2.293399999998485],[2.293399999998485],1.11,no_beat,1.1833999999984848,1.1833999999984848,"[""space""]",po,4,testConjL4Uns//time_viol.r2.s1.0.wav,1.0,conjunction_un,unsyncopated,b,s1,no_rule,time,L4,z,1.7798,6.0,0.0,0.4834,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,8.Me emociono escuchando ciertas canciones.,4.0, ha estabo bien ,53.0,yes
8,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,1,conjunction_un,L4,unsyncopated,s2,r1,8,Online_conjL4_un//c.bu.da5.222.444.wav,po,bu,da,sil,zi,de,ci,sil1,lo,re,sil2,['catch'],[1.3184000000059655],[1.3184000000059655],0.444,no_beat,0.8744000000059655,0.8744000000059655,"[""space""]",da,3,testConjL4Uns//cat_viol.r2.s2.0.wav,1.0,conjunction_un,unsyncopated,b,s2,no_rule,cat,L4,m,1.2497,5.0,1.0,0.5842,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,9.La música me tranquiliza y me relaja.,3.0, ha estabo bien ,53.0,yes
9,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,1,conjunction_un,L4,unsyncopated,s1,r1,9,Online_conjL4_un//c.bu.da7.none.none.wav,zi,re,po,sil,lo,bo,ci,sil1,ña,de,sil2,['-'],,,none,none,,,,da,3,testConjL4Uns//dep_viol.r2.s2.0.wav,1.0,conjunction_un,unsyncopated,b,s2,no_rule,dep,L4,z,2.7816,5.0,0.0,0.7002,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,10.La música me hace bailar,2.0, ha estabo bien ,53.0,yes
10,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,1,conjunction_un,L4,unsyncopated,s1,r1,10,Online_conjL4_un//c.bu.da4.1776.1110.wav,zi,re,bo,sil,lo,da,ru,sil1,bu,de,sil2,['miss'],,,1.11,no_beat,,,,da,3,testConjL4Uns//dep_viol.r2.s1.0.wav,1.0,conjunction_un,unsyncopated,b,s1,no_rule,dep,L4,m,2.5281,5.0,1.0,0.6975,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,11.Busco novedades musicales continuamente,1.0, ha estabo bien ,53.0,yes
11,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,1,conjunction_un,L4,unsyncopated,s1,r2,11,Online_conjL4_un//c.bu.da6.1776.444.wav,ja,ru,da,sil,nu,ñi,ña,sil1,bu,re,sil2,['catch'],[0.8082000000029552],[0.8082000000029552],0.444,no_beat,0.3642000000029552,0.3642000000029552,"[""space""]",da,3,testConjL4Uns//r2.s1.1.wav,1.0,conjunction_un,unsyncopated,b,s1,rule,rule,L4,z,0.3988,6.0,1.0,0.7815,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,12. Puedo llorar cuando escucho algunas melodías que me gustan mucho.,4.0, ha estabo bien ,53.0,yes
12,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,1,conjunction_un,L4,unsyncopated,s1,r1,12,Online_conjL4_un//c.bu.da1.none.none.wav,zi,bo,po,sil,lo,re,ci,sil1,ñi,pe,sil2,['-'],,,none,none,,,,da,3,testConjL4Uns//r2.s2.2.wav,1.0,conjunction_un,unsyncopated,b,s2,rule,rule,L4,z,1.2632,6.0,1.0,0.7808,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,13. Me gusta cantar o tocar un instrumento con más gente,2.0, ha estabo bien ,53.0,yes
