Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,1,what,L1,unsyncopated,s1,r2,0,Online_whatL1//a.pu.ki22.none.none.wav,ta,ne,cho,sil2,be,ro,lu,sil,fa,fo,sil1,['-'],,,none,none,,,,ki,2,testWhatL1Uns//cat_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,cat,L1,z,2.3462,7.0,0.0,1.8296,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,1.0,nada ,51.0,yes
1,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,1,what,L1,unsyncopated,s1,r1,1,Online_whatL1//a.pu.ki20.0.888.wav,pu,ze,ni,sil,ki,la,ne,sil2,zu,ro,sil1,['catch'],[1.3305999999046207],[1.3305999999046207],0.888,beat,0.4425999999046207,0.4425999999046207,"[""space""]",ki,2,testWhatL1Uns//r2.s1.1.wav,1.0,what,unsyncopated,b,s1,rule,rule,L1,z,1.5191,7.0,1.0,0.7186,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,2. En mi tiempo libre apenas escucho música.,4.0,nada ,51.0,yes
2,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,1,what,L1,unsyncopated,s2,r2,2,Online_whatL1//a.pu.ki21.none.none.wav,ze,fo,ri,sil,ta,lu,cho,sil2,be,la,sil1,['-'],,,none,none,,,,ki,2,testWhatL1Uns//dep_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,dep,L1,z,1.1177,7.0,0.0,0.5744,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,3. Algunas canciones me ponen los pelos de punta,1.0,nada ,51.0,yes
3,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,1,what,L1,unsyncopated,s1,r2,3,Online_whatL1//a.pu.ki23.none.none.wav,ta,ne,la,sil2,be,fo,lu,sil,cho,ze,sil1,['-'],,,none,none,,,,ki,2,testWhatL1Uns//cat_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,cat,L1,z,2.6426,7.0,0.0,0.4184,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,4. La música me hace compañía cuando estoy solo,4.0,nada ,51.0,yes
4,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,1,what,L1,unsyncopated,s1,r1,4,Online_whatL1//d.ne.ni5.none.none.wav,pu,cho,fo,sil,ki,zu,ro,sil2,fa,la,sil1,['-'],,,none,none,,,,ne,4,testWhatL1Uns//dep_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,dep,L1,z,0.9107,4.0,0.0,3.0713,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,5. No me apetece bailar ni con la música que más me gusta,5.0,nada ,51.0,yes
5,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,1,what,L1,unsyncopated,s2,r2,5,Online_whatL1//d.ne.ni7.none.none.wav,ze,lu,fa,sil,ta,cho,ri,sil1,be,ro,sil2,['-'],,,none,none,,,,ne,4,testWhatL1Uns//r1.s2.2.wav,1.0,what,unsyncopated,a,s2,rule,rule,L1,m,1.3222,4.0,0.0,2.9921,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,6. La música me hace conectar con la gente,3.0,nada ,51.0,yes
6,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,1,what,L1,unsyncopated,s2,r2,6,Online_whatL1//d.ne.ni6.none.none.wav,fa,fo,ri,sil,ta,lu,zu,sil1,be,ro,sil2,['-'],,,none,none,,,,ne,4,testWhatL1Uns//r2.s1.0.wav,1.0,what,unsyncopated,b,s1,rule,rule,L1,m,1.6348,3.0,0.0,2.9035,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,7. Me informo sobre la música que me gusta.,2.0,nada ,51.0,yes
7,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,1,what,L1,unsyncopated,s1,r2,7,Online_whatL1//d.ne.ni4.none.none.wav,ta,cho,lu,sil,be,fa,zu,sil1,ro,ze,sil2,['-'],,,none,none,,,,ne,4,testWhatL1Uns//r1.s1.1.wav,1.0,what,unsyncopated,a,s1,rule,rule,L1,m,2.5017,7.0,0.0,3.1829,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,8.Me emociono escuchando ciertas canciones.,3.0,nada ,51.0,yes
8,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,1,what,L1,unsyncopated,s2,r2,8,Online_whatL1//b.ta.be31.1110.1998.wav,fo,ze,ri,sil2,ta,ne,zu,sil,be,lu,sil1,['catch'],[1.517699999809338],[1.517699999809338],1.11,no_beat,0.4076999998093378,0.4076999998093378,"[""space""]",ta,1,testWhatL1Uns//r2.s1.2.wav,1.0,what,unsyncopated,b,s1,rule,rule,L1,m,1.4723,6.0,0.0,0.8707,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,9.La música me tranquiliza y me relaja.,2.0,nada ,51.0,yes
9,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,1,what,L1,unsyncopated,s2,r1,9,Online_whatL1//b.ta.be28.none.none.wav,zu,fo,ni,sil,pu,ri,lu,sil1,ki,ne,sil2,['-'],,,none,none,,,,ta,1,testWhatL1Uns//dep_viol.r2.s1.0.wav,1.0,what,unsyncopated,b,s1,no_rule,dep,L1,z,0.8295,7.0,0.0,0.8088,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,10.La música me hace bailar,4.0,nada ,51.0,yes
