Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,age_M5,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,1,when,L3,unsyncopated,when,when,0,Online_whenL3//a.mo13.1776.wav,chu,ji,do,sil,gu,le,fu,sil1,mo,ka,sil2,['catch'],[2.1603000000006887],[2.1603000000006887],1.776,beat,0.3843000000006886,0.3843000000006886,"[""space""]",mo,1,testWhenL3Uns//r1.s1.0.wav,1.0,when,unsyncopated,a,s1,rule,rule,L3,z,2.5313,7.0,1.0,4.78,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,nada ,70.0,yes
1,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,1,when,L3,unsyncopated,when,when,1,Online_whenL3//a.mo15.1110.wav,ga,le,do,sil,ñe,mo,fu,sil1,di,li,sil2,['catch'],[1.6803000000007842],[1.6803000000007842],1.11,no_beat,0.5703000000007841,0.5703000000007841,"[""space""]",mo,1,testWhenL3Uns//r1.s2.0.wav,1.0,when,unsyncopated,a,s2,rule,rule,L3,m,0.7545,5.0,0.0,3.8139,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,2. En mi tiempo libre apenas escucho música.,4.0,nada ,70.0,yes
2,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,1,when,L3,unsyncopated,when,when,2,Online_whenL3//a.mo12.none.wav,je,ji,ñe,sil,le,do,gu,sil1,ga,sa,sil2,['false alarm'],[1.398300000000745],[1.398300000000745],none,none,,,"[""space""]",mo,1,testWhenL3Uns//r1.s2.2.wav,1.0,when,unsyncopated,a,s2,rule,rule,L3,z,0.6088,6.0,1.0,1.403,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,3. Algunas canciones me ponen los pelos de punta,4.0,nada ,70.0,yes
3,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,1,when,L3,unsyncopated,when,when,3,Online_whenL3//a.mo14.none.wav,di,ko,ga,sil,gu,do,sa,sil1,ka,chu,sil2,['-'],,,none,none,,,,mo,1,testWhenL3Uns//dep_viol.r2.s2.0.wav,1.0,when,unsyncopated,b,s2,no_rule,dep,L3,z,0.6503,4.0,1.0,2.5818,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,4. La música me hace compañía cuando estoy solo,3.0,nada ,70.0,yes
4,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,1,when,L3,unsyncopated,when,when,4,Online_whenL3//b.ñe16.1110.wav,do,je,li,sil,gu,ñe,sa,sil1,ji,ko,sil2,['catch'],[1.6043999999985772],[1.6043999999985772],1.11,no_beat,0.4943999999985771,0.4943999999985771,"[""space""]",ñe,2,testWhenL3Uns//dep_viol.r2.s1.0.wav,1.0,when,unsyncopated,b,s1,no_rule,dep,L3,z,0.8833,5.0,1.0,2.1994,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,5. No me apetece bailar ni con la música que más me gusta,5.0,nada ,70.0,yes
5,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,1,when,L3,unsyncopated,when,when,5,Online_whenL3//b.ñe17.1998.wav,fu,ga,ka,sil,ji,chu,di,sil1,je,ñe,sil2,['catch'],[2.4971000000015238],[2.4971000000015238],1.998,no_beat,0.4991000000015237,0.4991000000015237,"[""space""]",ñe,2,testWhenL3Uns//dep_viol.r1.s2.0.wav,1.0,when,unsyncopated,a,s2,no_rule,dep,L3,z,1.0834,5.0,1.0,1.3376,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,6. La música me hace conectar con la gente,4.0,nada ,70.0,yes
6,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,1,when,L3,unsyncopated,when,when,6,Online_whenL3//b.ñe19.1776.wav,ji,mo,li,sil,le,ko,fu,sil1,ñe,do,sil2,['catch'],[2.2300999999977194],[2.2300999999977194],1.776,beat,0.4540999999977193,0.4540999999977193,"[""space""]",ñe,2,testWhenL3Uns//cat_viol.r1.s1.0.wav,1.0,when,unsyncopated,a,s1,no_rule,cat,L3,z,0.7358,4.0,1.0,1.9523,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,7. Me informo sobre la música que me gusta.,3.0,nada ,70.0,yes
7,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,1,when,L3,unsyncopated,when,when,7,Online_whenL3//b.ñe18.none.wav,sa,di,chu,sil,do,fu,ko,sil1,gu,ji,sil2,['-'],,,none,none,,,,ñe,2,testWhenL3Uns//time_viol.r2.s2.0.wav,1.0,when,unsyncopated,b,s2,no_rule,time,L3,z,0.5165,6.0,1.0,3.9037,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,8.Me emociono escuchando ciertas canciones.,4.0,nada ,70.0,yes
8,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,1,when,L3,unsyncopated,when,when,8,Online_whenL3//d.ji24.1998.wav,do,sa,gu,sil,li,chu,ka,sil1,ko,ji,sil2,['catch'],[2.4388000000008105],[2.4388000000008105],1.998,no_beat,0.4408000000008105,0.4408000000008105,"[""space""]",ji,4,testWhenL3Uns//r1.s1.2.wav,1.0,when,unsyncopated,a,s1,rule,rule,L3,m,0.5171,4.0,0.0,1.6098,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,9.La música me tranquiliza y me relaja.,3.0,nada ,70.0,yes
9,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,1,when,L3,unsyncopated,when,when,9,Online_whenL3//d.ji27.none.wav,chu,ka,di,sil,ñe,je,fu,sil1,do,gu,sil2,['-'],,,none,none,,,,ji,4,testWhenL3Uns//r2.s2.2.wav,1.0,when,unsyncopated,b,s2,rule,rule,L3,m,1.7993,4.0,0.0,1.5998,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,10.La música me hace bailar,4.0,nada ,70.0,yes
