Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,1,when,L3,unsyncopated,when,when,0,Online_whenL3//b.ñe6.444.wav,ga,ka,ñe,sil,mo,ji,li,sil1,do,fu,sil2,['catch'],[0.9272000000476055],[0.9272000000476055],0.444,no_beat,0.4832000000476055,0.4832000000476055,"[""space""]",ñe,2,testWhenL3Uns//r2.s1.1.wav,1.0,when,unsyncopated,b,s1,rule,rule,L3,z,3.0936,4.0,1.0,3.2716,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
1,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,1,when,L3,unsyncopated,when,when,1,Online_whenL3//b.ñe7.1998.wav,ji,je,sa,sil,ka,ga,di,sil1,gu,ñe,sil2,['catch'],[2.5533999999761363],[2.5533999999761363],1.998,no_beat,0.5553999999761363,0.5553999999761363,"[""space""]",ñe,2,testWhenL3Uns//time_viol.r1.s2.0.wav,1.0,when,unsyncopated,a,s2,no_rule,time,L3,z,1.0565,6.0,1.0,3.77,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,2. En mi tiempo libre apenas escucho música.,4.0,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
2,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,1,when,L3,unsyncopated,when,when,2,Online_whenL3//b.ñe5.1110.wav,li,ko,je,sil,fu,ñe,gu,sil1,ga,sa,sil2,['catch'],[1.9571999999284344],[1.9571999999284344],1.11,no_beat,0.8471999999284343,0.8471999999284343,"[""space""]",ñe,2,testWhenL3Uns//dep_viol.r1.s2.0.wav,1.0,when,unsyncopated,a,s2,no_rule,dep,L3,m,2.3493,2.0,0.0,1.6624,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,3. Algunas canciones me ponen los pelos de punta,4.0,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
3,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,1,when,L3,unsyncopated,when,when,3,Online_whenL3//b.ñe4.1998.wav,ka,di,ga,sil,ko,gu,je,sil1,mo,ñe,sil2,['catch'],[2.459699999928489],[2.459699999928489],1.998,no_beat,0.461699999928489,0.461699999928489,"[""space""]",ñe,2,testWhenL3Uns//r1.s1.0.wav,1.0,when,unsyncopated,a,s1,rule,rule,L3,z,0.8834,5.0,1.0,1.1361,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,4. La música me hace compañía cuando estoy solo,4.0,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
4,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,1,when,L3,unsyncopated,when,when,4,Online_whenL3//c.gu11.1110.wav,do,mo,ñe,sil,ga,gu,li,sil1,di,le,sil2,['catch'],[1.5625999999045916],[1.5625999999045916],1.11,no_beat,0.4525999999045915,0.4525999999045915,"[""space""]",gu,3,testWhenL3Uns//r1.s1.1.wav,1.0,when,unsyncopated,a,s1,rule,rule,L3,m,2.8878,3.0,0.0,2.4023,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,5. No me apetece bailar ni con la música que más me gusta,4.0,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
5,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,1,when,L3,unsyncopated,when,when,5,Online_whenL3//c.gu10.none.wav,ji,je,mo,sil,li,do,le,sil1,ka,chu,sil2,['-'],,,none,none,,,,gu,3,testWhenL3Uns//r1.s2.0.wav,1.0,when,unsyncopated,a,s2,rule,rule,L3,z,0.6736,5.0,1.0,2.2462,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,6. La música me hace conectar con la gente,4.0,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
6,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,1,when,L3,unsyncopated,when,when,6,Online_whenL3//c.gu9.none.wav,di,ko,le,sil,sa,ji,li,sil1,ka,mo,sil2,['-'],,,none,none,,,,gu,3,testWhenL3Uns//r2.s2.1.wav,1.0,when,unsyncopated,b,s2,rule,rule,L3,z,0.6522,2.0,1.0,1.2836,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,7. Me informo sobre la música que me gusta.,2.0,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
7,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,1,when,L3,unsyncopated,when,when,7,Online_whenL3//c.gu8.1332.wav,ka,ñe,li,sil,ko,le,gu,sil1,sa,fu,sil2,['miss'],,,1.332,no_beat,,,,gu,3,testWhenL3Uns//cat_viol.r1.s2.0.wav,1.0,when,unsyncopated,a,s2,no_rule,cat,L3,z,0.6778,5.0,1.0,2.0838,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,8.Me emociono escuchando ciertas canciones.,3.0,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
8,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,1,when,L3,unsyncopated,when,when,8,Online_whenL3//a.mo18.888.wav,je,do,fu,sil,mo,sa,ga,sil1,di,le,sil2,['catch'],[1.3958000000715174],[1.3958000000715174],0.888,beat,0.5078000000715174,0.5078000000715174,"[""space""]",mo,1,testWhenL3Uns//r1.s2.1.wav,1.0,when,unsyncopated,a,s2,rule,rule,L3,z,5.5532,3.0,1.0,1.0463,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,9.La música me tranquiliza y me relaja.,4.0,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
9,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,1,when,L3,unsyncopated,when,when,9,Online_whenL3//a.mo19.none.wav,fu,ka,ko,sil,chu,sa,do,sil1,li,le,sil2,['-'],,,none,none,,,,mo,1,testWhenL3Uns//cat_viol.r2.s2.0.wav,1.0,when,unsyncopated,b,s2,no_rule,cat,L3,z,0.4675,5.0,1.0,1.6181,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,10.La música me hace bailar,3.0,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
