Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,instr_4,age_M4,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s1,r1,0,Online_whatL2//d.si.ñu16.222.1332.wav,go,si,ba,sil2,du,ñu,te,sil,me,ño,sil1,['miss'],,,1.332,no_beat,,,,ñu,4,testWhatL2Uns//time_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,time,L2,z,2.0436,6.0,0.0,18.2555,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,Ya lo hiceeee wii,67.0,yes
1,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s2,r1,1,Online_whatL2//d.si.ñu17.0.444.wav,si,me,ñu,sil,go,mi,cha,sil2,du,bi,sil1,['miss'],,,0.444,no_beat,,,,ñu,4,testWhatL2Uns//r2.s1.0.wav,1.0,what,unsyncopated,b,s1,rule,rule,L2,z,0.9155,6.0,1.0,1.8651,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,2. En mi tiempo libre apenas escucho música.,4.0,Ya lo hiceeee wii,67.0,yes
2,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s2,r1,2,Online_whatL2//d.si.ñu19.1110.0.wav,ñu,mi,me,sil,go,si,su,sil2,du,cha,sil1,['miss'],,,0.0,beat,,,,ñu,4,testWhatL2Uns//dep_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,dep,L2,z,0.6493,6.0,0.0,2.9593,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,3. Algunas canciones me ponen los pelos de punta,4.0,Ya lo hiceeee wii,67.0,yes
3,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s2,r1,3,Online_whatL2//d.si.ñu18.222.444.wav,su,si,ñu,sil,go,te,me,sil2,du,ba,sil1,['catch'],[1.490800000011859],[1.490800000011859],0.444,no_beat,1.0468000000118591,1.0468000000118591,"[""space""]",ñu,4,testWhatL2Uns//r1.s1.0.wav,1.0,what,unsyncopated,a,s1,rule,rule,L2,z,0.9342,6.0,1.0,2.2951,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,4. La música me hace compañía cuando estoy solo,2.0,Ya lo hiceeee wii,67.0,yes
4,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s1,r2,4,Online_whatL2//c.cha.me0.1998.222.wav,fe,me,ño,sil,ra,su,si,sil2,cha,mi,sil1,['miss'],,,0.222,no_beat,,,,me,3,testWhatL2Uns//r1.s2.0.wav,1.0,what,unsyncopated,a,s2,rule,rule,L2,z,2.2613,6.0,1.0,1.0967,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,5. No me apetece bailar ni con la música que más me gusta,5.0,Ya lo hiceeee wii,67.0,yes
5,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s1,r1,5,Online_whatL2//c.cha.me3.1332.444.wav,go,to,me,sil,du,si,cha,sil2,ño,te,sil1,['false alarm'],[0.1434999999999036],[0.1434999999999036],0.444,no_beat,,,"[""space""]",me,3,testWhatL2Uns//r2.s2.1.wav,1.0,what,unsyncopated,b,s2,rule,rule,L2,z,1.9143,6.0,1.0,0.4829,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,6. La música me hace conectar con la gente,3.0,Ya lo hiceeee wii,67.0,yes
6,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s2,r2,6,Online_whatL2//c.cha.me1.1110.0.wav,me,mi,ba,sil,fe,cha,su,sil2,ra,ñu,sil1,['miss'],,,0.0,beat,,,,me,3,testWhatL2Uns//r1.s1.1.wav,1.0,what,unsyncopated,a,s1,rule,rule,L2,m,2.196,4.0,0.0,2.312,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,7. Me informo sobre la música que me gusta.,3.0,Ya lo hiceeee wii,67.0,yes
7,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s1,r1,7,Online_whatL2//c.cha.me2.none.none.wav,go,ba,si,sil2,du,mi,ñu,sil,bi,ño,sil1,['-'],,,none,none,,,,me,3,testWhatL2Uns//time_viol.r2.s1.0.wav,1.0,what,unsyncopated,b,s1,no_rule,time,L2,z,1.5477,6.0,0.0,1.9964,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,8.Me emociono escuchando ciertas canciones.,4.0,Ya lo hiceeee wii,67.0,yes
8,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s2,r2,8,Online_whatL2//d.si.ñu3.0.444.wav,si,ba,ñu,sil2,fe,te,cha,sil,ra,ño,sil1,['false alarm'],[0.09100000000000819],[0.09100000000000819],0.444,no_beat,,,"[""space""]",ñu,4,testWhatL2Uns//dep_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,dep,L2,z,3.2088,6.0,0.0,1.7127,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,9.La música me tranquiliza y me relaja.,4.0,Ya lo hiceeee wii,67.0,yes
9,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,1,what,L2,unsyncopated,s2,r1,9,Online_whatL2//d.si.ñu0.0.444.wav,si,mi,ñu,sil,go,ba,te,sil2,du,to,sil1,['catch'],[0.9585999999642354],[0.9585999999642354],0.444,no_beat,0.5145999999642354,0.5145999999642354,"[""space""]",ñu,4,testWhatL2Uns//r2.s2.2.wav,1.0,what,unsyncopated,b,s2,rule,rule,L2,m,0.6164,4.0,0.0,0.982,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,10.La música me hace bailar,4.0,Ya lo hiceeee wii,67.0,yes
