Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,BMRQ_Score,bilingual
0,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,1,conjunction_un,L1,unsyncopated,s2,r2,0,Online_conjL1_un//b.ta.be17.888.1776.wav,ro,zu,ne,sil,ta,ze,fo,sil1,be,ri,sil2,['catch'],"[0.8410000000000082, 1.551499999999976]",[1.551499999999976],0.888,beat,0.6634999999999759,0.6634999999999759,"[""space"",""space""]",ta,1,testConjL1Uns//r2.s1.1.wav,1.0,conjunction_un,unsyncopated,b,s1,rule,rule,L1,z,1.419,7.0,1.0,10.3575,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,0.0,59.0,yes
1,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,1,conjunction_un,L1,unsyncopated,s2,r1,1,Online_conjL1_un//b.ta.be18.none.none.wav,ne,ze,ro,sil,pu,la,cho,sil1,ki,lu,sil2,['false alarm'],[0.5728999999761868],[0.5728999999761868],none,none,,,"[""space""]",ta,1,testConjL1Uns//r1.s2.1.wav,1.0,conjunction_un,unsyncopated,a,s2,rule,rule,L1,z,1.1844,7.0,1.0,1.9529,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,2. En mi tiempo libre apenas escucho música.,5.0,59.0,yes
2,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,1,conjunction_un,L1,unsyncopated,s2,r2,2,Online_conjL1_un//b.ta.be19.888.1776.wav,zu,ni,lu,sil,ta,ri,la,sil1,be,ze,sil2,['catch'],[1.2571999999880745],[1.2571999999880745],0.888,beat,0.3691999999880745,0.3691999999880745,"[""space""]",ta,1,testConjL1Uns//time_viol.r1.s2.0.wav,1.0,conjunction_un,unsyncopated,a,s2,no_rule,time,L1,z,1.6044,5.0,0.0,1.6474,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,3. Algunas canciones me ponen los pelos de punta,4.0,59.0,yes
3,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,1,conjunction_un,L1,unsyncopated,s2,r2,3,Online_conjL1_un//b.ta.be16.888.1776.wav,ze,cho,fo,sil,ta,ne,zu,sil1,be,lu,sil2,['catch'],[1.2241000000238387],[1.2241000000238387],0.888,beat,0.3361000000238386,0.3361000000238386,"[""space""]",ta,1,testConjL1Uns//r1.s1.2.wav,1.0,conjunction_un,unsyncopated,a,s1,rule,rule,L1,m,3.379,5.0,0.0,2.6739,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,4. La música me hace compañía cuando estoy solo,4.0,59.0,yes
4,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,1,conjunction_un,L1,unsyncopated,s2,r1,4,Online_conjL1_un//a.pu.ki21.888.1776.wav,zu,ri,ni,sil,pu,lu,fa,sil1,ki,ro,sil2,"['false alarm', 'catch']","[0.3341000000238523, 2.168400000035774]",[2.168400000035774],1.776,beat,0.3924000000357741,0.3924000000357741,"[""space"",""space""]",ki,2,testConjL1Uns//r1.s2.0.wav,1.0,conjunction_un,unsyncopated,a,s2,rule,rule,L1,z,0.587,7.0,1.0,1.9195,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,5. No me apetece bailar ni con la música que más me gusta,5.0,59.0,yes
5,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,1,conjunction_un,L1,unsyncopated,s1,r1,5,Online_conjL1_un//a.pu.ki23.0.888.wav,pu,la,ze,sil,ki,cho,fo,sil1,ne,zu,sil2,['catch'],[1.3778000000119164],[1.3778000000119164],0.888,beat,0.4898000000119163,0.4898000000119163,"[""space""]",ki,2,testConjL1Uns//time_viol.r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,no_rule,time,L1,m,2.6551,4.0,1.0,1.9181,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,6. La música me hace conectar con la gente,0.0,59.0,yes
6,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,1,conjunction_un,L1,unsyncopated,s2,r1,6,Online_conjL1_un//a.pu.ki22.888.1776.wav,la,ze,zu,sil,pu,ne,cho,sil1,ki,ri,sil2,['catch'],[2.1055000000000064],[2.1055000000000064],1.776,beat,0.3295000000000063,0.3295000000000063,"[""space""]",ki,2,testConjL1Uns//time_viol.r2.s2.0.wav,1.0,conjunction_un,unsyncopated,b,s2,no_rule,time,L1,m,1.0197,6.0,1.0,2.8185,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,7. Me informo sobre la música que me gusta.,3.0,59.0,yes
7,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,1,conjunction_un,L1,unsyncopated,s1,r2,7,Online_conjL1_un//a.pu.ki20.none.none.wav,ta,ni,ze,sil,be,ri,ne,sil1,cho,fo,sil2,['-'],,,none,none,,,,ki,2,testConjL1Uns//dep_viol.r2.s2.0.wav,1.0,conjunction_un,unsyncopated,b,s2,no_rule,dep,L1,z,0.4546,7.0,0.0,1.6684,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,8.Me emociono escuchando ciertas canciones.,4.0,59.0,yes
8,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,1,conjunction_un,L1,unsyncopated,s1,r1,8,Online_conjL1_un//b.ta.be20.none.none.wav,pu,ri,ro,sil,ki,ze,ne,sil1,zu,fa,sil2,['-'],,,none,none,,,,ta,1,testConjL1Uns//dep_viol.r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,no_rule,dep,L1,z,0.571,5.0,0.0,1.4695,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,9.La música me tranquiliza y me relaja.,4.0,59.0,yes
9,2023-07-30_17h24.25.873,Unsyncopated1,s4,30 ,feminino,right, España,CatalánCastellano,Upper secondary,no,yes,A,1,conjunction_un,L1,unsyncopated,s1,r1,9,Online_conjL1_un//b.ta.be22.none.none.wav,pu,ze,fa,sil,ki,zu,cho,sil1,ro,la,sil2,['-'],,,none,none,,,,ta,1,testConjL1Uns//dep_viol.r2.s1.0.wav,1.0,conjunction_un,unsyncopated,b,s1,no_rule,dep,L1,m,1.3057,7.0,1.0,1.9087,2 ,2.0,catalan,6.0,castellano,0.0,3.0,4.0,yes,no,yes,piano,10,10.La música me hace bailar,4.0,59.0,yes
