Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,lang_5,age_l5,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2023-07-13_11h41.22.030,Unsyncopated1,s5,36.0,masculino,both,España,Español,Master degree,no,no,A,1,conjunction_syn,L4,syncopated,s1,r2,0,Online_conjL4_syn//b.ja.nu19.0.666.wav,ja,ña,po,nu,sil,ñi,ru,re,sil1,da,sil2,['miss'],,,0.0,beat,,,,ja,1,testConjL4Syn//dep_viol.r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,no_rule,dep,L4,z,4.4641,7.0,0.0,3.2311,4.0,3.0,Español,0.0,Húngaro,1.0,Inglés,6.0,Alemán,15.0,Italiano,14.0,5.0,2.0,yes,no,no,Guitarra,10,Tambor,10,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,4.0,"En el ultimo test la silaba FE es muy dificil de identificar, no se si es por que lo dice la maquina, pero casi no se aprecia.Algunos de los idiomas, tienen similitudes con las lenguages indigenas o Japonesas ya que usan silabas.",71.0,yes
1,2023-07-13_11h41.22.030,Unsyncopated1,s5,36.0,masculino,both,España,Español,Master degree,no,no,A,1,conjunction_syn,L4,syncopated,s2,r2,1,Online_conjL4_syn//b.ja.nu18.666.1554.wav,ru,pe,po,ja,sil,bu,bo,nu,sil1,da,sil2,['catch'],[1.0218000000006668],[1.0218000000006668],0.666,no_beat,0.3558000000006668,0.3558000000006668,"[""space""]",ja,1,testConjL4Syn//dep_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,dep,L4,m,9.1878,6.0,1.0,3.1044,4.0,3.0,Español,0.0,Húngaro,1.0,Inglés,6.0,Alemán,15.0,Italiano,14.0,5.0,2.0,yes,no,no,Guitarra,10,Tambor,10,2. En mi tiempo libre apenas escucho música.,5.0,"En el ultimo test la silaba FE es muy dificil de identificar, no se si es por que lo dice la maquina, pero casi no se aprecia.Algunos de los idiomas, tienen similitudes con las lenguages indigenas o Japonesas ya que usan silabas.",71.0,yes
2,2023-07-13_11h41.22.030,Unsyncopated1,s5,36.0,masculino,both,España,Español,Master degree,no,no,A,1,conjunction_syn,L4,syncopated,s2,r1,2,Online_conjL4_syn//b.ja.nu17.none.none.wav,ci,ru,de,zi,sil,bo,po,lo,sil1,bu,sil2,['-'],,,none,none,,,,ja,1,testConjL4Syn//cat_viol.r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,no_rule,cat,L4,z,2.796,7.0,0.0,1.8527,4.0,3.0,Español,0.0,Húngaro,1.0,Inglés,6.0,Alemán,15.0,Italiano,14.0,5.0,2.0,yes,no,no,Guitarra,10,Tambor,10,3. Algunas canciones me ponen los pelos de punta,4.0,"En el ultimo test la silaba FE es muy dificil de identificar, no se si es por que lo dice la maquina, pero casi no se aprecia.Algunos de los idiomas, tienen similitudes con las lenguages indigenas o Japonesas ya que usan silabas.",71.0,yes
3,2023-07-13_11h41.22.030,Unsyncopated1,s5,36.0,masculino,both,España,Español,Master degree,no,no,A,1,conjunction_syn,L4,syncopated,s2,r1,3,Online_conjL4_syn//b.ja.nu16.none.none.wav,da,ru,bo,zi,sil,re,pe,lo,sil1,bu,sil2,['-'],,,none,none,,,,ja,1,testConjL4Syn//r2.s2.1.wav,1.0,conjunction_syn,syncopated,b,s2,rule,rule,L4,m,7.8691,6.0,0.0,1.5226,4.0,3.0,Español,0.0,Húngaro,1.0,Inglés,6.0,Alemán,15.0,Italiano,14.0,5.0,2.0,yes,no,no,Guitarra,10,Tambor,10,4. La música me hace compañía cuando estoy solo,4.0,"En el ultimo test la silaba FE es muy dificil de identificar, no se si es por que lo dice la maquina, pero casi no se aprecia.Algunos de los idiomas, tienen similitudes con las lenguages indigenas o Japonesas ya que usan silabas.",71.0,yes
4,2023-07-13_11h41.22.030,Unsyncopated1,s5,36.0,masculino,both,España,Español,Master degree,no,no,A,1,conjunction_syn,L4,syncopated,s1,r1,4,Online_conjL4_syn//c.bu.da18.1110.1332.wav,zi,bo,ñi,lo,sil,bu,da,de,sil1,po,sil2,['catch'],[1.6006999999992786],[1.6006999999992786],1.11,no_beat,0.4906999999992785,0.4906999999992785,"[""space""]",bu,3,testConjL4Syn//dep_viol.r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,no_rule,dep,L4,z,6.0784,6.0,0.0,2.954,4.0,3.0,Español,0.0,Húngaro,1.0,Inglés,6.0,Alemán,15.0,Italiano,14.0,5.0,2.0,yes,no,no,Guitarra,10,Tambor,10,5. No me apetece bailar ni con la música que más me gusta,5.0,"En el ultimo test la silaba FE es muy dificil de identificar, no se si es por que lo dice la maquina, pero casi no se aprecia.Algunos de los idiomas, tienen similitudes con las lenguages indigenas o Japonesas ya que usan silabas.",71.0,yes
5,2023-07-13_11h41.22.030,Unsyncopated1,s5,36.0,masculino,both,España,Español,Master degree,no,no,A,1,conjunction_syn,L4,syncopated,s2,r1,5,Online_conjL4_syn//c.bu.da19.none.none.wav,po,ña,ru,zi,sil,de,pe,lo,sil1,ci,sil2,['-'],,,none,none,,,,bu,3,testConjL4Syn//r2.s1.1.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L4,z,1.7983,7.0,1.0,1.8521,4.0,3.0,Español,0.0,Húngaro,1.0,Inglés,6.0,Alemán,15.0,Italiano,14.0,5.0,2.0,yes,no,no,Guitarra,10,Tambor,10,6. La música me hace conectar con la gente,3.0,"En el ultimo test la silaba FE es muy dificil de identificar, no se si es por que lo dice la maquina, pero casi no se aprecia.Algunos de los idiomas, tienen similitudes con las lenguages indigenas o Japonesas ya que usan silabas.",71.0,yes
6,2023-07-13_11h41.22.030,Unsyncopated1,s5,36.0,masculino,both,España,Español,Master degree,no,no,A,1,conjunction_syn,L4,syncopated,s1,r1,6,Online_conjL4_syn//c.bu.da17.none.none.wav,zi,bo,de,lo,sil,po,ña,re,sil1,ci,sil2,['-'],,,none,none,,,,bu,3,testConjL4Syn//cat_viol.r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,no_rule,cat,L4,z,1.5564,7.0,0.0,1.2211,4.0,3.0,Español,0.0,Húngaro,1.0,Inglés,6.0,Alemán,15.0,Italiano,14.0,5.0,2.0,yes,no,no,Guitarra,10,Tambor,10,7. Me informo sobre la música que me gusta.,3.0,"En el ultimo test la silaba FE es muy dificil de identificar, no se si es por que lo dice la maquina, pero casi no se aprecia.Algunos de los idiomas, tienen similitudes con las lenguages indigenas o Japonesas ya que usan silabas.",71.0,yes
7,2023-07-13_11h41.22.030,Unsyncopated1,s5,36.0,masculino,both,España,Español,Master degree,no,no,A,1,conjunction_syn,L4,syncopated,s2,r2,7,Online_conjL4_syn//c.bu.da16.none.none.wav,po,ci,re,ja,sil,pe,de,nu,sil1,ru,sil2,['-'],,,none,none,,,,bu,3,testConjL4Syn//time_viol.r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,no_rule,time,L4,z,3.4358,7.0,0.0,0.6956,4.0,3.0,Español,0.0,Húngaro,1.0,Inglés,6.0,Alemán,15.0,Italiano,14.0,5.0,2.0,yes,no,no,Guitarra,10,Tambor,10,8.Me emociono escuchando ciertas canciones.,4.0,"En el ultimo test la silaba FE es muy dificil de identificar, no se si es por que lo dice la maquina, pero casi no se aprecia.Algunos de los idiomas, tienen similitudes con las lenguages indigenas o Japonesas ya que usan silabas.",71.0,yes
8,2023-07-13_11h41.22.030,Unsyncopated1,s5,36.0,masculino,both,España,Español,Master degree,no,no,A,1,conjunction_syn,L4,syncopated,s1,r2,8,Online_conjL4_syn//b.ja.nu12.0.666.wav,ja,ñi,de,nu,sil,pe,po,da,sil1,ru,sil2,['catch'],[0.5442000000011831],[0.5442000000011831],0.0,beat,0.5442000000011831,0.5442000000011831,"[""space""]",ja,1,testConjL4Syn//r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L4,z,1.7327,7.0,1.0,1.0887,4.0,3.0,Español,0.0,Húngaro,1.0,Inglés,6.0,Alemán,15.0,Italiano,14.0,5.0,2.0,yes,no,no,Guitarra,10,Tambor,10,9.La música me tranquiliza y me relaja.,4.0,"En el ultimo test la silaba FE es muy dificil de identificar, no se si es por que lo dice la maquina, pero casi no se aprecia.Algunos de los idiomas, tienen similitudes con las lenguages indigenas o Japonesas ya que usan silabas.",71.0,yes
9,2023-07-13_11h41.22.030,Unsyncopated1,s5,36.0,masculino,both,España,Español,Master degree,no,no,A,1,conjunction_syn,L4,syncopated,s2,r1,9,Online_conjL4_syn//b.ja.nu13.none.none.wav,re,ci,bu,zi,sil,po,bo,lo,sil1,pe,sil2,['-'],,,none,none,,,,ja,1,testConjL4Syn//r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L4,z,1.2829,7.0,1.0,0.4399,4.0,3.0,Español,0.0,Húngaro,1.0,Inglés,6.0,Alemán,15.0,Italiano,14.0,5.0,2.0,yes,no,no,Guitarra,10,Tambor,10,10.La música me hace bailar,4.0,"En el ultimo test la silaba FE es muy dificil de identificar, no se si es por que lo dice la maquina, pero casi no se aprecia.Algunos de los idiomas, tienen similitudes con las lenguages indigenas o Japonesas ya que usan silabas.",71.0,yes
