Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,instr_4,age_M4,instr_5,age_M5,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2023-11-12_20h32.58.555,Unsyncopated1,s73,31.0,masculino,right,España,Español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s1,r2,0,Online_whatL2//d.si.ñu4.1776.1110.wav,fe,su,to,sil,ra,ñu,cha,sil1,si,me,sil2,['catch'],[2.439300000000685],[2.439300000000685],1.776,beat,0.663300000000685,0.663300000000685,"[""space""]",si,4,testWhatL2Uns//time_viol.r2.s1.0.wav,1.0,what,unsyncopated,b,s1,no_rule,time,L2,z,14.1657,5.0,0.0,4.5057,1.0,1.0,Español,0.0,3.0,2.0,yes,yes,yes,Canto ,19,Guitarra,19,Bateria,19,Piano ,18.0,Bajo ,18.0,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,"Creo que es un exceso hacer un experimento con 4 idiomas, creo que es muy largo y extenso, con 2 ya estaba bien porque al llegar al tercero uno ya está más distraido porque ha hecho por mucho rato lo mismo y al llegar al cuarto idioma ya ni quedan ganas de seguir, si esto fuera más corto uno lo haría con más animo, pero ya al final no me quedaban ganas de seguir y mi atención iba decayendo. Además mejoraría los audios de los idiomas para que se escuchen más claros, por ejemplo los haría con voz humana y no tan pegada cada silaba, es decir con espacios entre medio.  ",76.0,no
1,2023-11-12_20h32.58.555,Unsyncopated1,s73,31.0,masculino,right,España,Español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s2,r1,1,Online_whatL2//d.si.ñu6.none.none.wav,te,me,mi,sil2,go,su,to,sil,du,bi,sil1,['-'],,,none,none,,,,si,4,testWhatL2Uns//r1.s2.2.wav,1.0,what,unsyncopated,a,s2,rule,rule,L2,z,8.2477,2.0,1.0,5.4759,1.0,1.0,Español,0.0,3.0,2.0,yes,yes,yes,Canto ,19,Guitarra,19,Bateria,19,Piano ,18.0,Bajo ,18.0,2. En mi tiempo libre apenas escucho música.,2.0,"Creo que es un exceso hacer un experimento con 4 idiomas, creo que es muy largo y extenso, con 2 ya estaba bien porque al llegar al tercero uno ya está más distraido porque ha hecho por mucho rato lo mismo y al llegar al cuarto idioma ya ni quedan ganas de seguir, si esto fuera más corto uno lo haría con más animo, pero ya al final no me quedaban ganas de seguir y mi atención iba decayendo. Además mejoraría los audios de los idiomas para que se escuchen más claros, por ejemplo los haría con voz humana y no tan pegada cada silaba, es decir con espacios entre medio.  ",76.0,no
2,2023-11-12_20h32.58.555,Unsyncopated1,s73,31.0,masculino,right,España,Español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s2,r2,2,Online_whatL2//d.si.ñu7.1332.0.wav,ñu,to,me,sil,fe,su,si,sil1,ra,bi,sil2,['catch'],[1.7378000000007887],[1.7378000000007887],1.332,no_beat,0.4058000000007886,0.4058000000007886,"[""space""]",si,4,testWhatL2Uns//time_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,time,L2,m,2.5113,6.0,1.0,3.3259,1.0,1.0,Español,0.0,3.0,2.0,yes,yes,yes,Canto ,19,Guitarra,19,Bateria,19,Piano ,18.0,Bajo ,18.0,3. Algunas canciones me ponen los pelos de punta,4.0,"Creo que es un exceso hacer un experimento con 4 idiomas, creo que es muy largo y extenso, con 2 ya estaba bien porque al llegar al tercero uno ya está más distraido porque ha hecho por mucho rato lo mismo y al llegar al cuarto idioma ya ni quedan ganas de seguir, si esto fuera más corto uno lo haría con más animo, pero ya al final no me quedaban ganas de seguir y mi atención iba decayendo. Además mejoraría los audios de los idiomas para que se escuchen más claros, por ejemplo los haría con voz humana y no tan pegada cada silaba, es decir con espacios entre medio.  ",76.0,no
3,2023-11-12_20h32.58.555,Unsyncopated1,s73,31.0,masculino,right,España,Español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s1,r1,3,Online_whatL2//d.si.ñu5.none.none.wav,go,to,me,sil2,du,mi,ño,sil,ba,su,sil1,['-'],,,none,none,,,,si,4,testWhatL2Uns//r1.s1.2.wav,1.0,what,unsyncopated,a,s1,rule,rule,L2,m,2.4826,6.0,0.0,3.5275,1.0,1.0,Español,0.0,3.0,2.0,yes,yes,yes,Canto ,19,Guitarra,19,Bateria,19,Piano ,18.0,Bajo ,18.0,4. La música me hace compañía cuando estoy solo,4.0,"Creo que es un exceso hacer un experimento con 4 idiomas, creo que es muy largo y extenso, con 2 ya estaba bien porque al llegar al tercero uno ya está más distraido porque ha hecho por mucho rato lo mismo y al llegar al cuarto idioma ya ni quedan ganas de seguir, si esto fuera más corto uno lo haría con más animo, pero ya al final no me quedaban ganas de seguir y mi atención iba decayendo. Además mejoraría los audios de los idiomas para que se escuchen más claros, por ejemplo los haría con voz humana y no tan pegada cada silaba, es decir con espacios entre medio.  ",76.0,no
4,2023-11-12_20h32.58.555,Unsyncopated1,s73,31.0,masculino,right,España,Español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s1,r2,4,Online_whatL2//d.si.ñu24.none.none.wav,fe,ba,cha,sil2,ra,to,mi,sil,te,bi,sil1,['-'],,,none,none,,,,si,4,testWhatL2Uns//r1.s2.0.wav,1.0,what,unsyncopated,a,s2,rule,rule,L2,z,1.6311,6.0,1.0,2.6757,1.0,1.0,Español,0.0,3.0,2.0,yes,yes,yes,Canto ,19,Guitarra,19,Bateria,19,Piano ,18.0,Bajo ,18.0,5. No me apetece bailar ni con la música que más me gusta,5.0,"Creo que es un exceso hacer un experimento con 4 idiomas, creo que es muy largo y extenso, con 2 ya estaba bien porque al llegar al tercero uno ya está más distraido porque ha hecho por mucho rato lo mismo y al llegar al cuarto idioma ya ni quedan ganas de seguir, si esto fuera más corto uno lo haría con más animo, pero ya al final no me quedaban ganas de seguir y mi atención iba decayendo. Además mejoraría los audios de los idiomas para que se escuchen más claros, por ejemplo los haría con voz humana y no tan pegada cada silaba, es decir con espacios entre medio.  ",76.0,no
5,2023-11-12_20h32.58.555,Unsyncopated1,s73,31.0,masculino,right,España,Español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s1,r1,5,Online_whatL2//d.si.ñu25.none.none.wav,go,te,su,sil,du,to,ba,sil2,cha,mi,sil1,['-'],,,none,none,,,,si,4,testWhatL2Uns//dep_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,dep,L2,m,0.8851,6.0,1.0,3.1246,1.0,1.0,Español,0.0,3.0,2.0,yes,yes,yes,Canto ,19,Guitarra,19,Bateria,19,Piano ,18.0,Bajo ,18.0,6. La música me hace conectar con la gente,4.0,"Creo que es un exceso hacer un experimento con 4 idiomas, creo que es muy largo y extenso, con 2 ya estaba bien porque al llegar al tercero uno ya está más distraido porque ha hecho por mucho rato lo mismo y al llegar al cuarto idioma ya ni quedan ganas de seguir, si esto fuera más corto uno lo haría con más animo, pero ya al final no me quedaban ganas de seguir y mi atención iba decayendo. Además mejoraría los audios de los idiomas para que se escuchen más claros, por ejemplo los haría con voz humana y no tan pegada cada silaba, es decir con espacios entre medio.  ",76.0,no
6,2023-11-12_20h32.58.555,Unsyncopated1,s73,31.0,masculino,right,España,Español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s2,r2,6,Online_whatL2//d.si.ñu27.none.none.wav,su,te,bi,sil,fe,cha,ño,sil2,ra,ba,sil1,['-'],,,none,none,,,,si,4,testWhatL2Uns//cat_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,cat,L2,m,0.9664,6.0,1.0,1.552,1.0,1.0,Español,0.0,3.0,2.0,yes,yes,yes,Canto ,19,Guitarra,19,Bateria,19,Piano ,18.0,Bajo ,18.0,7. Me informo sobre la música que me gusta.,3.0,"Creo que es un exceso hacer un experimento con 4 idiomas, creo que es muy largo y extenso, con 2 ya estaba bien porque al llegar al tercero uno ya está más distraido porque ha hecho por mucho rato lo mismo y al llegar al cuarto idioma ya ni quedan ganas de seguir, si esto fuera más corto uno lo haría con más animo, pero ya al final no me quedaban ganas de seguir y mi atención iba decayendo. Además mejoraría los audios de los idiomas para que se escuchen más claros, por ejemplo los haría con voz humana y no tan pegada cada silaba, es decir con espacios entre medio.  ",76.0,no
7,2023-11-12_20h32.58.555,Unsyncopated1,s73,31.0,masculino,right,España,Español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s2,r1,7,Online_whatL2//d.si.ñu26.none.none.wav,mi,cha,te,sil,go,ño,su,sil2,du,me,sil1,['-'],,,none,none,,,,si,4,testWhatL2Uns//r2.s1.1.wav,1.0,what,unsyncopated,b,s1,rule,rule,L2,z,2.146,3.0,1.0,5.6205,1.0,1.0,Español,0.0,3.0,2.0,yes,yes,yes,Canto ,19,Guitarra,19,Bateria,19,Piano ,18.0,Bajo ,18.0,8.Me emociono escuchando ciertas canciones.,4.0,"Creo que es un exceso hacer un experimento con 4 idiomas, creo que es muy largo y extenso, con 2 ya estaba bien porque al llegar al tercero uno ya está más distraido porque ha hecho por mucho rato lo mismo y al llegar al cuarto idioma ya ni quedan ganas de seguir, si esto fuera más corto uno lo haría con más animo, pero ya al final no me quedaban ganas de seguir y mi atención iba decayendo. Además mejoraría los audios de los idiomas para que se escuchen más claros, por ejemplo los haría con voz humana y no tan pegada cada silaba, es decir con espacios entre medio.  ",76.0,no
8,2023-11-12_20h32.58.555,Unsyncopated1,s73,31.0,masculino,right,España,Español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s2,r1,8,Online_whatL2//b.fe.ra6.none.none.wav,si,su,te,sil2,go,ba,mi,sil,du,ñu,sil1,['false alarm'],[0.6159999999999854],[0.6159999999999854],none,none,,,"[""space""]",fe,1,testWhatL2Uns//dep_viol.r2.s1.0.wav,1.0,what,unsyncopated,b,s1,no_rule,dep,L2,z,0.9303,2.0,0.0,1.7682,1.0,1.0,Español,0.0,3.0,2.0,yes,yes,yes,Canto ,19,Guitarra,19,Bateria,19,Piano ,18.0,Bajo ,18.0,9.La música me tranquiliza y me relaja.,4.0,"Creo que es un exceso hacer un experimento con 4 idiomas, creo que es muy largo y extenso, con 2 ya estaba bien porque al llegar al tercero uno ya está más distraido porque ha hecho por mucho rato lo mismo y al llegar al cuarto idioma ya ni quedan ganas de seguir, si esto fuera más corto uno lo haría con más animo, pero ya al final no me quedaban ganas de seguir y mi atención iba decayendo. Además mejoraría los audios de los idiomas para que se escuchen más claros, por ejemplo los haría con voz humana y no tan pegada cada silaba, es decir con espacios entre medio.  ",76.0,no
9,2023-11-12_20h32.58.555,Unsyncopated1,s73,31.0,masculino,right,España,Español,Bachelor degree,no,no,A,1,what,L2,unsyncopated,s1,r1,9,Online_whatL2//b.fe.ra4.none.none.wav,go,te,to,sil2,du,ño,me,sil,su,cha,sil1,['-'],,,none,none,,,,fe,1,testWhatL2Uns//dep_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,dep,L2,z,1.2276,1.0,0.0,1.9177,1.0,1.0,Español,0.0,3.0,2.0,yes,yes,yes,Canto ,19,Guitarra,19,Bateria,19,Piano ,18.0,Bajo ,18.0,10.La música me hace bailar,4.0,"Creo que es un exceso hacer un experimento con 4 idiomas, creo que es muy largo y extenso, con 2 ya estaba bien porque al llegar al tercero uno ya está más distraido porque ha hecho por mucho rato lo mismo y al llegar al cuarto idioma ya ni quedan ganas de seguir, si esto fuera más corto uno lo haría con más animo, pero ya al final no me quedaban ganas de seguir y mi atención iba decayendo. Además mejoraría los audios de los idiomas para que se escuchen más claros, por ejemplo los haría con voz humana y no tan pegada cada silaba, es decir con espacios entre medio.  ",76.0,no
