Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,1,conjunction_syn,L4,syncopated,s1,r1,0,Online_conjL4_syn//a.zi.lo25.0.666.wav,zi,po,ci,lo,sil,re,da,ru,sil1,pe,sil2,['miss'],,,0.0,beat,,,,zi,1,testConjL4Syn//r1.s2.1.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L4,z,0.9341,7.0,1.0,6.6232,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,4.0,nada ,73.0,yes
1,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,1,conjunction_syn,L4,syncopated,s1,r1,1,Online_conjL4_syn//a.zi.lo26.0.666.wav,zi,bu,po,lo,sil,bo,da,re,sil1,pe,sil2,['catch'],[0.25769999999988613],[0.25769999999988613],0.0,beat,0.2576999999998861,0.2576999999998861,"[""space""]",zi,1,testConjL4Syn//r1.s1.2.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L4,z,1.836,7.0,1.0,1.5073,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,2. En mi tiempo libre apenas escucho música.,5.0,nada ,73.0,yes
2,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,1,conjunction_syn,L4,syncopated,s1,r2,2,Online_conjL4_syn//a.zi.lo27.none.none.wav,ja,re,bo,nu,sil,bu,pe,ru,sil1,ñi,sil2,['-'],,,none,none,,,,zi,1,testConjL4Syn//dep_viol.r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,no_rule,dep,L4,m,1.4053,4.0,1.0,2.3364,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,3. Algunas canciones me ponen los pelos de punta,4.0,nada ,73.0,yes
3,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,1,conjunction_syn,L4,syncopated,s2,r2,3,Online_conjL4_syn//a.zi.lo24.none.none.wav,ñi,po,de,ja,sil,pe,ci,nu,sil1,bo,sil2,['false alarm'],[1.7442999999999529],[1.7442999999999529],none,none,,,"[""space""]",zi,1,testConjL4Syn//r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L4,z,1.2615,6.0,1.0,1.4506,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,4. La música me hace compañía cuando estoy solo,3.0,nada ,73.0,yes
4,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,1,conjunction_syn,L4,syncopated,s2,r2,4,Online_conjL4_syn//c.bu.da21.none.none.wav,ña,re,po,ja,sil,de,ñi,nu,sil1,ru,sil2,['-'],,,none,none,,,,da,3,testConjL4Syn//dep_viol.r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,no_rule,dep,L4,m,1.7017,5.0,1.0,2.0948,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,5. No me apetece bailar ni con la música que más me gusta,5.0,nada ,73.0,yes
5,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,1,conjunction_syn,L4,syncopated,s1,r2,5,Online_conjL4_syn//c.bu.da20.444.1332.wav,ja,pe,bu,nu,sil,ci,da,re,sil1,ru,sil2,['catch'],[1.5998999999999342],[1.5998999999999342],1.332,no_beat,0.2678999999999341,0.2678999999999341,"[""space""]",da,3,testConjL4Syn//r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L4,z,1.7939,5.0,1.0,1.7918,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,6. La música me hace conectar con la gente,4.0,nada ,73.0,yes
6,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,1,conjunction_syn,L4,syncopated,s2,r2,6,Online_conjL4_syn//c.bu.da23.444.1110.wav,ña,re,bu,ja,sil,da,de,nu,sil1,ci,sil2,['miss'],,,1.11,no_beat,,,,da,3,testConjL4Syn//cat_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,cat,L4,z,3.7752,6.0,0.0,1.4122,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,7. Me informo sobre la música que me gusta.,3.0,nada ,73.0,yes
7,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,1,conjunction_syn,L4,syncopated,s2,r1,7,Online_conjL4_syn//c.bu.da22.0.222.wav,bu,da,bo,zi,sil,re,ru,lo,sil1,ñi,sil2,['catch'],[1.3886000000001104],[1.3886000000001104],0.222,no_beat,1.1666000000001104,1.1666000000001104,"[""space""]",da,3,testConjL4Syn//r2.s1.1.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L4,z,0.8743,6.0,1.0,0.7256,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,8.Me emociono escuchando ciertas canciones.,4.0,nada ,73.0,yes
8,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,1,conjunction_syn,L4,syncopated,s2,r2,8,Online_conjL4_syn//d.pe.po3.none.none.wav,re,ñi,ña,ja,sil,ci,da,nu,sil1,bo,sil2,['-'],,,none,none,,,,po,4,testConjL4Syn//r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L4,m,5.5061,3.0,0.0,0.8871,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,9.La música me tranquiliza y me relaja.,4.0,nada ,73.0,yes
9,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,1,conjunction_syn,L4,syncopated,s2,r1,9,Online_conjL4_syn//d.pe.po1.1332.222.wav,ñi,po,da,zi,sil,bu,pe,lo,sil1,bo,sil2,['catch'],[1.2381000000000313],[1.2381000000000313],0.222,no_beat,1.016100000000031,1.016100000000031,"[""space""]",po,4,testConjL4Syn//time_viol.r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,no_rule,time,L4,z,1.1508,7.0,0.0,1.2183,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,10.La música me hace bailar,4.0,nada ,73.0,yes
