Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,instr_4,age_M4,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r2,0,Online_conjL1_syn//d.ne.ni17.none.none.wav,ze,lu,ri,ta,sil,fo,cho,be,sil1,fa,sil2,['-'],,,none,none,,,,ne,4,testConjL1Syn//r1.s2.2.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L1,z,1.865,6.0,1.0,10.409,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,4.0, nada ,78.0,yes
1,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r2,1,Online_conjL1_syn//d.ne.ni18.none.none.wav,lu,ri,cho,ta,sil,ze,ro,be,sil1,fo,sil2,['-'],,,none,none,,,,ne,4,testConjL1Syn//cat_viol.r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,no_rule,cat,L1,z,2.5,5.0,0.0,1.538,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,2. En mi tiempo libre apenas escucho música.,5.0, nada ,78.0,yes
2,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r2,2,Online_conjL1_syn//d.ne.ni16.1332.222.wav,ta,ni,lu,be,sil,ri,ne,fo,sil1,ze,sil2,"['catch', 'false alarm']","[2.0460000000002765, 2.6490000000012515]",[2.0460000000002765],1.332,no_beat,0.7140000000002764,0.7140000000002764,"[""space"",""space""]",ne,4,testConjL1Syn//r1.s1.2.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L1,m,1.668,6.0,0.0,1.82,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,3. Algunas canciones me ponen los pelos de punta,4.0, nada ,78.0,yes
3,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r1,3,Online_conjL1_syn//d.ne.ni19.none.none.wav,la,ro,cho,pu,sil,ri,zu,ki,sil1,fo,sil2,['-'],,,none,none,,,,ne,4,testConjL1Syn//dep_viol.r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,no_rule,dep,L1,z,0.792,6.0,0.0,1.362,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,4. La música me hace compañía cuando estoy solo,4.0, nada ,78.0,yes
4,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r1,4,Online_conjL1_syn//d.ne.ni1.222.1110.wav,pu,ne,ri,ki,sil,ni,la,ze,sil1,lu,sil2,['miss'],,,0.222,no_beat,,,,ne,4,testConjL1Syn//r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L1,m,1.014,5.0,0.0,1.512,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,5. No me apetece bailar ni con la música que más me gusta,5.0, nada ,78.0,yes
5,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r2,5,Online_conjL1_syn//d.ne.ni2.222.1332.wav,ta,ne,lu,be,sil,ri,ni,cho,sil1,ze,sil2,['catch'],[0.7469999999993888],[0.7469999999993888],0.222,no_beat,0.5249999999993888,0.5249999999993888,"[""space""]",ne,4,testConjL1Syn//r2.s2.2.wav,1.0,conjunction_syn,syncopated,b,s2,rule,rule,L1,m,0.601,7.0,0.0,1.417,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,6. La música me hace conectar con la gente,4.0, nada ,78.0,yes
6,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r1,6,Online_conjL1_syn//d.ne.ni3.none.none.wav,pu,fo,la,ki,sil,ro,lu,ri,sil1,cho,sil2,['-'],,,none,none,,,,ne,4,testConjL1Syn//time_viol.r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,no_rule,time,L1,m,0.685,6.0,1.0,1.573,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,7. Me informo sobre la música que me gusta.,4.0, nada ,78.0,yes
7,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r1,7,Online_conjL1_syn//d.ne.ni0.none.none.wav,lu,ze,zu,pu,sil,ro,ri,ki,sil1,la,sil2,['-'],,,none,none,,,,ne,4,testConjL1Syn//cat_viol.r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,no_rule,cat,L1,z,0.566,5.0,0.0,1.288,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,8.Me emociono escuchando ciertas canciones.,4.0, nada ,78.0,yes
8,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r1,8,Online_conjL1_syn//a.pu.ki10.0.666.wav,pu,ro,cho,ki,sil,zu,la,fa,sil1,ne,sil2,['catch'],[1.4210000000002765],[1.4210000000002765],0.666,no_beat,0.7550000000002764,0.7550000000002764,"[""space""]",ki,2,testConjL1Syn//r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L1,m,0.946,6.0,0.0,1.532,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,9.La música me tranquiliza y me relaja.,4.0, nada ,78.0,yes
9,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r1,9,Online_conjL1_syn//a.pu.ki8.0.666.wav,pu,ze,ni,ki,sil,ne,ro,ri,sil1,fa,sil2,['catch'],[1.532999999999447],[1.532999999999447],0.666,no_beat,0.866999999999447,0.866999999999447,"[""space""]",ki,2,testConjL1Syn//r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L1,z,0.381,6.0,1.0,1.198,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,10.La música me hace bailar,4.0, nada ,78.0,yes
