Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,1,conjunction_un,L2,unsyncopated,s2,r2,0,Online_conjL2_un//b.fe.ra15.888.1776.wav,si,me,to,sil,fe,su,ba,sil1,ra,bi,sil2,['catch'],[1.3306999999880418],[1.3306999999880418],0.888,beat,0.4426999999880417,0.4426999999880417,"[""space""]",fe,1,testConjL2Uns//dep_viol.r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,no_rule,dep,L2,z,2.4843,7.0,0.0,1.8844,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,nada,74.0,yes
1,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,1,conjunction_un,L2,unsyncopated,s1,r2,1,Online_conjL2_un//b.fe.ra14.0.888.wav,fe,si,ñu,sil,ra,mi,to,sil1,me,bi,sil2,['catch'],[0.3813000000119473],[0.3813000000119473],0.0,beat,0.3813000000119473,0.3813000000119473,"[""space""]",fe,1,testConjL2Uns//r2.s1.2.wav,1.0,conjunction_un,unsyncopated,b,s1,rule,rule,L2,z,0.994,6.0,1.0,1.1688,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,2. En mi tiempo libre apenas escucho música.,5.0,nada,74.0,yes
2,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,1,conjunction_un,L2,unsyncopated,s2,r1,2,Online_conjL2_un//b.fe.ra13.none.none.wav,ñu,bi,su,sil,go,mi,ba,sil1,du,cha,sil2,['-'],,,none,none,,,,fe,1,testConjL2Uns//cat_viol.r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,no_rule,cat,L2,z,0.4557,7.0,0.0,1.3355,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,3. Algunas canciones me ponen los pelos de punta,4.0,nada,74.0,yes
3,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,1,conjunction_un,L2,unsyncopated,s1,r1,3,Online_conjL2_un//b.fe.ra12.none.none.wav,go,ñi,ba,sil,du,me,si,sil1,cha,to,sil2,['-'],,,none,none,,,,fe,1,testConjL2Uns//r2.s1.0.wav,1.0,conjunction_un,unsyncopated,b,s1,rule,rule,L2,z,0.4269,6.0,1.0,1.3292,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,4. La música me hace compañía cuando estoy solo,4.0,nada,74.0,yes
4,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,1,conjunction_un,L2,unsyncopated,s1,r1,4,Online_conjL2_un//c.cha.me11.none.none.wav,go,su,ñu,sil,du,ñi,mi,sil1,ba,to,sil2,['-'],,,none,none,,,,cha,3,testConjL2Uns//time_viol.r1.s2.0.wav,1.0,conjunction_un,unsyncopated,a,s2,no_rule,time,L2,z,0.5672,7.0,0.0,0.8587,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,5. No me apetece bailar ni con la música que más me gusta,5.0,nada,74.0,yes
5,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,1,conjunction_un,L2,unsyncopated,s1,r1,5,Online_conjL2_un//c.cha.me9.none.none.wav,go,to,ñi,sil,du,mi,ñu,sil1,bi,su,sil2,['-'],,,none,none,,,,cha,3,testConjL2Uns//cat_viol.r2.s1.0.wav,1.0,conjunction_un,unsyncopated,b,s1,no_rule,cat,L2,z,0.3944,7.0,0.0,1.0463,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,6. La música me hace conectar con la gente,4.0,nada,74.0,yes
6,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,1,conjunction_un,L2,unsyncopated,s1,r2,6,Online_conjL2_un//c.cha.me8.444.1332.wav,fe,bi,cha,sil,ra,ñi,me,sil1,te,si,sil2,['catch'],[0.77130000001182],[0.77130000001182],0.444,no_beat,0.3273000000118199,0.3273000000118199,"[""space""]",cha,3,testConjL2Uns//time_viol.r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,no_rule,time,L2,m,0.9463,3.0,1.0,2.7299,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,7. Me informo sobre la música que me gusta.,2.0,nada,74.0,yes
7,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,1,conjunction_un,L2,unsyncopated,s2,r2,7,Online_conjL2_un//c.cha.me10.0.222.wav,cha,me,mi,sil,fe,su,si,sil1,ra,ba,sil2,['catch'],[0.48699999999996635],[0.48699999999996635],0.0,beat,0.4869999999999663,0.4869999999999663,"[""space""]",cha,3,testConjL2Uns//r1.s1.1.wav,1.0,conjunction_un,unsyncopated,a,s1,rule,rule,L2,z,0.34,7.0,1.0,0.7859,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,8.Me emociono escuchando ciertas canciones.,4.0,nada,74.0,yes
8,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,1,conjunction_un,L2,unsyncopated,s1,r2,8,Online_conjL2_un//c.cha.me31.none.none.wav,fe,ñi,ba,sil,ra,si,te,sil1,ñu,mi,sil2,['false alarm'],[1.4748000000118964],[1.4748000000118964],none,none,,,"[""space""]",cha,3,testConjL2Uns//dep_viol.r1.s2.0.wav,1.0,conjunction_un,unsyncopated,a,s2,no_rule,dep,L2,z,2.5027,2.0,0.0,1.8692,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,9.La música me tranquiliza y me relaja.,4.0,nada,74.0,yes
9,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,1,conjunction_un,L2,unsyncopated,s1,r1,9,Online_conjL2_un//c.cha.me28.222.444.wav,go,cha,me,sil,du,mi,ba,sil1,bi,to,sil2,['miss'],,,0.222,no_beat,,,,cha,3,testConjL2Uns//r1.s1.0.wav,1.0,conjunction_un,unsyncopated,a,s1,rule,rule,L2,z,3.3963,2.0,1.0,2.198,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,10.La música me hace bailar,4.0,nada,74.0,yes
