Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,0,Online_whenL4//b.ja19.none.wav,ñi,da,nu,sil,ña,bo,de,sil1,po,lo,sil2,['-'],,,none,none,,,,ja,1,testWhenL4Uns//dep_viol.r2.s2.0.wav,1.0,when,unsyncopated,b,s2,no_rule,dep,L4,z,0.8303,7.0,1.0,15.0032,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,2.0,nada,60.0,yes
1,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,1,Online_whenL4//b.ja17.none.wav,pe,ru,ñi,sil,zi,lo,re,sil1,de,bu,sil2,['-'],,,none,none,,,,ja,1,testWhenL4Uns//r2.s2.1.wav,1.0,when,unsyncopated,b,s2,rule,rule,L4,m,4.1507,4.0,0.0,3.1668,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,2. En mi tiempo libre apenas escucho música.,5.0,nada,60.0,yes
2,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,2,Online_whenL4//b.ja18.none.wav,bo,re,ru,sil,de,lo,zi,sil1,ci,ña,sil2,['-'],,,none,none,,,,ja,1,testWhenL4Uns//time_viol.r2.s1.0.wav,1.0,when,unsyncopated,b,s1,no_rule,time,L4,z,3.8055,3.0,1.0,2.6006,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,3. Algunas canciones me ponen los pelos de punta,2.0,nada,60.0,yes
3,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,3,Online_whenL4//b.ja16.1110.wav,re,ci,bu,sil,de,ja,ru,sil1,pe,nu,sil2,['catch'],[1.5049000000003616],[1.5049000000003616],1.11,no_beat,0.3949000000003615,0.3949000000003615,"[""space""]",ja,1,testWhenL4Uns//cat_viol.r1.s2.0.wav,1.0,when,unsyncopated,a,s2,no_rule,cat,L4,m,2.7342,5.0,0.0,2.0235,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,4. La música me hace compañía cuando estoy solo,4.0,nada,60.0,yes
4,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,4,Online_whenL4//d.pe18.none.wav,zi,re,po,sil,bo,ja,ci,sil1,ru,da,sil2,['-'],,,none,none,,,,pe,4,testWhenL4Uns//r2.s2.0.wav,1.0,when,unsyncopated,b,s2,rule,rule,L4,m,1.3824,3.0,0.0,1.9185,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,5. No me apetece bailar ni con la música que más me gusta,5.0,nada,60.0,yes
5,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,5,Online_whenL4//d.pe16.888.wav,lo,bu,zi,sil,pe,ñi,da,sil1,ci,ña,sil2,['catch'],[1.2729000000003907],[1.2729000000003907],0.888,beat,0.3849000000003907,0.3849000000003907,"[""space""]",pe,4,testWhenL4Uns//r1.s1.1.wav,1.0,when,unsyncopated,a,s1,rule,rule,L4,z,1.6237,6.0,1.0,1.6339,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,6. La música me hace conectar con la gente,2.0,nada,60.0,yes
6,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,6,Online_whenL4//d.pe19.none.wav,nu,ci,ñi,sil,de,po,ru,sil1,ña,zi,sil2,['-'],,,none,none,,,,pe,4,testWhenL4Uns//cat_viol.r2.s2.0.wav,1.0,when,unsyncopated,b,s2,no_rule,cat,L4,m,0.7334,3.0,0.0,0.8665,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,7. Me informo sobre la música que me gusta.,1.0,nada,60.0,yes
7,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,7,Online_whenL4//d.pe17.444.wav,ci,ru,pe,sil,ña,bu,zi,sil1,ñi,nu,sil2,['catch'],[1.1405000000000314],[1.1405000000000314],0.444,no_beat,0.6965000000000314,0.6965000000000314,"[""space""]",pe,4,testWhenL4Uns//dep_viol.r1.s1.0.wav,1.0,when,unsyncopated,a,s1,no_rule,dep,L4,z,0.2998,6.0,1.0,1.3658,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,8.Me emociono escuchando ciertas canciones.,3.0,nada,60.0,yes
8,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,8,Online_whenL4//d.pe24.0.wav,pe,de,re,sil,zi,ña,bo,sil1,ja,ñi,sil2,['catch'],[0.6205999999996266],[0.6205999999996266],0.0,beat,0.6205999999996266,0.6205999999996266,"[""space""]",pe,4,testWhenL4Uns//dep_viol.r2.s1.0.wav,1.0,when,unsyncopated,b,s1,no_rule,dep,L4,m,1.0991,2.0,0.0,0.6244,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,9.La música me tranquiliza y me relaja.,4.0,nada,60.0,yes
9,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,9,Online_whenL4//d.pe25.none.wav,re,bu,ja,sil,da,bo,ci,sil1,nu,ru,sil2,['-'],,,none,none,,,,pe,4,testWhenL4Uns//r1.s1.2.wav,1.0,when,unsyncopated,a,s1,rule,rule,L4,z,1.017,4.0,1.0,2.2882,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,10.La música me hace bailar,4.0,nada,60.0,yes
10,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,10,Online_whenL4//d.pe27.222.wav,ru,pe,nu,sil,zi,ña,ci,sil1,ñi,bu,sil2,['miss'],,,0.222,no_beat,,,,pe,4,testWhenL4Uns//cat_viol.r1.s1.0.wav,1.0,when,unsyncopated,a,s1,no_rule,cat,L4,z,0.3018,6.0,1.0,1.4845,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,11.Busco novedades musicales continuamente,2.0,nada,60.0,yes
11,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,11,Online_whenL4//d.pe26.none.wav,lo,re,ña,sil,bo,po,ñi,sil1,zi,da,sil2,['-'],,,none,none,,,,pe,4,testWhenL4Uns//r1.s2.0.wav,1.0,when,unsyncopated,a,s2,rule,rule,L4,z,0.9831,3.0,1.0,3.6501,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,12. Puedo llorar cuando escucho algunas melodías que me gustan mucho.,2.0,nada,60.0,yes
12,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,12,Online_whenL4//b.ja15.444.wav,da,ci,ja,sil,bo,ru,pe,sil1,zi,bu,sil2,['catch'],[1.0349000000003912],[1.0349000000003912],0.444,no_beat,0.5909000000003912,0.5909000000003912,"[""space""]",ja,1,testWhenL4Uns//r2.s1.0.wav,1.0,when,unsyncopated,b,s1,rule,rule,L4,m,0.7173,4.0,0.0,1.2501,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,13. Me gusta cantar o tocar un instrumento con más gente,3.0,nada,60.0,yes
13,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,13,Online_whenL4//b.ja13.none.wav,bo,de,ña,sil,re,bu,lo,sil1,pe,zi,sil2,['-'],,,none,none,,,,ja,1,testWhenL4Uns//r2.s1.1.wav,1.0,when,unsyncopated,b,s1,rule,rule,L4,m,0.6509,3.0,0.0,0.7353,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,14. La música me ayuda a desconectar.,4.0,nada,60.0,yes
14,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,14,Online_whenL4//b.ja12.444.wav,nu,ñi,ja,sil,pe,da,ña,sil1,re,ru,sil2,['catch'],[0.9378999999994448],[0.9378999999994448],0.444,no_beat,0.4938999999994448,0.4938999999994448,"[""space""]",ja,1,testWhenL4Uns//r1.s2.1.wav,1.0,when,unsyncopated,a,s2,rule,rule,L4,z,1.4824,5.0,1.0,1.3244,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,15. No puedo evitar tararear las canciones que me gustan cuando las escucho.,4.0,nada,60.0,yes
15,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,15,Online_whenL4//b.ja14.888.wav,zi,ña,po,sil,ja,bu,de,sil1,bo,ru,sil2,['catch'],[1.3562000000001717],[1.3562000000001717],0.888,beat,0.4682000000001717,0.4682000000001717,"[""space""]",ja,1,testWhenL4Uns//r1.s1.0.wav,1.0,when,unsyncopated,a,s1,rule,rule,L4,m,1.8019,2.0,0.0,0.6913,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,16. En los conciertos me siento en sintonía con los artistas y el público.,3.0,nada,60.0,yes
16,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,16,Online_whenL4//d.pe8.1998.wav,bo,ru,ña,sil,nu,ñi,ja,sil1,po,pe,sil2,['catch'],[2.369000000000028],[2.369000000000028],1.998,no_beat,0.3710000000000282,0.3710000000000282,"[""space""]",pe,4,testWhenL4Uns//time_viol.r1.s2.0.wav,1.0,when,unsyncopated,a,s2,no_rule,time,L4,z,0.6371,6.0,1.0,0.9493,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,17. Me gasto bastante dinero en música y cosas relacionadas con la música.,1.0,nada,60.0,yes
