Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r2,0,Online_conjL1_syn//d.ne.ni14.none.none.wav,ta,ri,cho,be,sil,ze,lu,zu,sil1,la,sil2,['-'],,,none,none,,,,ni,4,testConjL1Syn//cat_viol.r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,no_rule,cat,L1,m,17.2228,2.0,1.0,2.1225,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,4.0,nada,61.0,yes
1,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r1,1,Online_conjL1_syn//d.ne.ni12.none.none.wav,pu,fo,ri,ki,sil,ze,zu,ro,sil1,la,sil2,['-'],,,none,none,,,,ni,4,testConjL1Syn//r2.s2.1.wav,1.0,conjunction_syn,syncopated,b,s2,rule,rule,L1,z,1.1463,4.0,1.0,4.6261,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,2. En mi tiempo libre apenas escucho música.,4.0,nada,61.0,yes
2,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r1,2,Online_conjL1_syn//d.ne.ni15.none.none.wav,pu,lu,ze,ki,sil,cho,zu,ri,sil1,la,sil2,['-'],,,none,none,,,,ni,4,testConjL1Syn//cat_viol.r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,no_rule,cat,L1,m,1.7755,5.0,1.0,4.3356,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,3. Algunas canciones me ponen los pelos de punta,4.0,nada,61.0,yes
3,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r1,3,Online_conjL1_syn//d.ne.ni13.1110.222.wav,ze,ni,lu,pu,sil,ne,ro,ki,sil1,zu,sil2,['miss'],,,1.11,no_beat,,,,ni,4,testConjL1Syn//time_viol.r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,no_rule,time,L1,z,2.246,4.0,0.0,1.6144,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,4. La música me hace compañía cuando estoy solo,3.0,nada,61.0,yes
4,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r1,4,Online_conjL1_syn//d.ne.ni11.222.1332.wav,pu,ne,ri,ki,sil,la,ni,cho,sil1,ro,sil2,['catch'],[0.9911999999881118],[0.9911999999881118],0.222,no_beat,0.7691999999881118,0.7691999999881118,"[""space""]",ni,4,testConjL1Syn//r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L1,z,1.949,3.0,1.0,4.4824,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,5. No me apetece bailar ni con la música que más me gusta,2.0,nada,61.0,yes
5,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r2,5,Online_conjL1_syn//d.ne.ni10.none.none.wav,ta,ze,fo,be,sil,ro,zu,ri,sil1,lu,sil2,['-'],,,none,none,,,,ni,4,testConjL1Syn//r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L1,m,1.8435,4.0,0.0,5.5512,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,6. La música me hace conectar con la gente,3.0,nada,61.0,yes
6,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r1,6,Online_conjL1_syn//d.ne.ni8.222.444.wav,fo,ne,ni,pu,sil,ri,ze,ki,sil1,ro,sil2,['catch'],[0.6603000000119437],[0.6603000000119437],0.222,no_beat,0.4383000000119437,0.4383000000119437,"[""space""]",ni,4,testConjL1Syn//r2.s1.1.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L1,m,1.3163,4.0,0.0,1.2065,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,7. Me informo sobre la música que me gusta.,3.0,nada,61.0,yes
7,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r2,7,Online_conjL1_syn//d.ne.ni9.0.444.wav,ne,fo,ni,ta,sil,lu,ri,be,sil1,cho,sil2,['catch'],[0.4932999999821277],[0.4932999999821277],0.0,beat,0.4932999999821277,0.4932999999821277,"[""space""]",ni,4,testConjL1Syn//r1.s2.0.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L1,z,9.8214,3.0,1.0,3.5312,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,8.Me emociono escuchando ciertas canciones.,4.0,nada,61.0,yes
8,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r2,8,Online_conjL1_syn//d.ne.ni25.222.1110.wav,ta,ne,ze,be,sil,ni,cho,la,sil1,lu,sil2,['catch'],[0.6349999999999909],[0.6349999999999909],0.222,no_beat,0.4129999999999909,0.4129999999999909,"[""space""]",ni,4,testConjL1Syn//r1.s2.2.wav,1.0,conjunction_syn,syncopated,a,s2,rule,rule,L1,z,0.5747,5.0,1.0,1.4025,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,9.La música me tranquiliza y me relaja.,3.0,nada,61.0,yes
9,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r1,9,Online_conjL1_syn//d.ne.ni26.none.none.wav,ze,zu,fa,pu,sil,cho,lu,ki,sil1,fo,sil2,['-'],,,none,none,,,,ni,4,testConjL1Syn//dep_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,dep,L1,m,0.6203,4.0,1.0,8.2898,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,10.La música me hace bailar,1.0,nada,61.0,yes
10,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r2,10,Online_conjL1_syn//d.ne.ni24.none.none.wav,lu,ro,la,ta,sil,fa,fo,be,sil1,zu,sil2,['-'],,,none,none,,,,ni,4,testConjL1Syn//r1.s1.1.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L1,m,2.4757,3.0,0.0,2.6367,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,11.Busco novedades musicales continuamente,3.0,nada,61.0,yes
11,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r2,11,Online_conjL1_syn//d.ne.ni27.none.none.wav,ta,la,fo,be,sil,zu,cho,ze,sil1,ri,sil2,['-'],,,none,none,,,,ni,4,testConjL1Syn//r1.s1.2.wav,1.0,conjunction_syn,syncopated,a,s1,rule,rule,L1,m,8.4101,1.0,0.0,2.2264,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,12. Puedo llorar cuando escucho algunas melodías que me gustan mucho.,1.0,nada,61.0,yes
12,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r1,12,Online_conjL1_syn//b.ta.be30.none.none.wav,la,fo,fa,pu,sil,ro,ri,ki,sil1,ze,sil2,['-'],,,none,none,,,,be,1,testConjL1Syn//cat_viol.r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,no_rule,cat,L1,z,1.7393,2.0,0.0,7.2354,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,13. Me gusta cantar o tocar un instrumento con más gente,4.0,nada,61.0,yes
13,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r2,13,Online_conjL1_syn//b.ta.be28.0.666.wav,ta,fa,la,be,sil,zu,fo,ze,sil1,ro,sil2,"['catch', 'false alarm']","[0.7814000000059877, 0.9707999999820913]",[0.7814000000059877],0.0,beat,0.7814000000059877,0.7814000000059877,"[""space"",""space""]",be,1,testConjL1Syn//dep_viol.r2.s2.0.wav,1.0,conjunction_syn,syncopated,b,s2,no_rule,dep,L1,m,0.9179,5.0,1.0,1.4998,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,14. La música me ayuda a desconectar.,4.0,nada,61.0,yes
14,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r1,14,Online_conjL1_syn//b.ta.be29.none.none.wav,pu,ro,fa,ki,sil,zu,ni,la,sil1,ze,sil2,['-'],,,none,none,,,,be,1,testConjL1Syn//cat_viol.r2.s1.0.wav,1.0,conjunction_syn,syncopated,b,s1,no_rule,cat,L1,m,2.1964,2.0,1.0,1.0256,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,15. No puedo evitar tararear las canciones que me gustan cuando las escucho.,3.0,nada,61.0,yes
15,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r2,15,Online_conjL1_syn//b.ta.be31.0.666.wav,ta,fo,cho,be,sil,lu,ri,zu,sil1,la,sil2,['miss'],,,0.0,beat,,,,be,1,testConjL1Syn//r2.s1.2.wav,1.0,conjunction_syn,syncopated,b,s1,rule,rule,L1,m,1.4578,4.0,0.0,1.5697,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,16. En los conciertos me siento en sintonía con los artistas y el público.,3.0,nada,61.0,yes
16,2024-01-20_22h19.15.872,Unsyncopated_study2,s96,27.0,masculino,right,España,Español,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r2,16,Online_conjL1_syn//c.ro.fo30.1110.0.wav,fo,ze,fa,ta,sil,ro,ri,be,sil1,ni,sil2,['catch'],[1.8195000000000618],[1.8195000000000618],1.11,no_beat,0.7095000000000617,0.7095000000000617,"[""space""]",fo,3,testConjL1Syn//dep_viol.r1.s1.0.wav,1.0,conjunction_syn,syncopated,a,s1,no_rule,dep,L1,m,3.386,2.0,1.0,1.5731,2.0,2.0,Español,0.0,Inglés,6.0,2.0,3.0,yes,yes,yes,Piano,5,Saxofón,5,Flauta Travesera,5,17. Me gasto bastante dinero en música y cosas relacionadas con la música.,2.0,nada,61.0,yes
