condA,condB,ord,colour
ne,ni,100:104,orange
ki,pu,20:24,red
ro,fo,88:92,green
ne,ni,112:116,orange
ki,pu,16:20,red
ki,pu,8:12,red
ro,fo,68:72,green
ki,pu,4:8,red
ta,be,32:36,blue
ne,ni,120:124,orange
ne,ni,124:128,orange
ne,ni,96:100,orange
ne,ni,104:108,orange
ro,fo,64:68,green
ki,pu,12:16,red
ta,be,56:60,blue
ta,be,36:40,blue
ro,fo,76:80,green
ro,fo,80:84,green
ki,pu,0:4,red
ro,fo,84:88,green
ki,pu,24:28,red
ta,be,60:64,blue
ro,fo,72:76,green
ta,be,40:44,blue
ro,fo,92:96,green
ne,ni,108:112,orange
ta,be,44:48,blue
ne,ni,116:120,orange
ta,be,48:52,blue
ta,be,52:56,blue
ki,pu,28:32,red
