condA,condB,ord,colour
cha,me,72:76,blue
cha,me,76:80,blue
fe,ra,48:52,red
cha,me,68:72,blue
si,ñu,120:124,green
si,ñu,104:108,green
si,ñu,100:104,green
si,ñu,108:112,green
cha,me,88:92,blue
cha,me,80:84,blue
fe,ra,60:64,red
du,go,24:28,orange
du,go,12:16,orange
fe,ra,36:40,red
fe,ra,32:36,red
fe,ra,56:60,red
du,go,20:24,orange
cha,me,92:96,blue
cha,me,84:88,blue
si,ñu,124:128,green
cha,me,64:68,blue
fe,ra,52:56,red
si,ñu,96:100,green
fe,ra,40:44,red
du,go,0:4,orange
fe,ra,44:48,red
du,go,4:8,orange
si,ñu,112:116,green
du,go,16:20,orange
du,go,28:32,orange
du,go,8:12,orange
si,ñu,116:120,green
