condA,condB,ord,colour
gu,gu,100:104,red
ji,ji,124:128,blue
gu,gu,80:84,red
ji,ji,108:112,blue
ñe,ñe,68:72,orange
gu,gu,84:88,red
mo,mo,4:8,green
mo,mo,0:4,green
mo,mo,8:12,green
ji,ji,132:136,blue
gu,gu,88:92,red
ji,ji,120:124,blue
ñe,ñe,40:44,orange
mo,mo,12:16,green
ji,ji,104:108,blue
gu,gu,92:96,red
ji,ji,128:132,blue
ñe,ñe,44:48,orange
mo,mo,24:28,green
mo,mo,32:36,green
ñe,ñe,36:40,orange
ji,ji,112:116,blue
gu,gu,72:76,red
ñe,ñe,64:68,orange
mo,mo,20:24,green
gu,gu,96:100,red
mo,mo,28:32,green
ñe,ñe,48:52,orange
mo,mo,16:20,green
ñe,ñe,52:56,orange
ñe,ñe,60:64,orange
ji,ji,116:120,blue
ñe,ñe,56:60,orange
gu,gu,76:80,red
