key_resp1.keys,key_resp1.rt,participant,session,group,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_10.keys,key_resp_10.rt,key_ressp2.keys,key_ressp2.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp1_2.keys,key_resp1_2.rt,key_resp1_3.keys,key_resp1_3.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt
space,7.072,046391,001,B,2023-06-20_16h43.44.278,Unsyncopated1,2022.2.5,MacIntel,59.95563283,,,,,,,,,,,,,,,,,,
,,046391,001,B,2023-06-20_16h43.44.278,Unsyncopated1,2022.2.5,MacIntel,59.95563283,space,10.9599,,,,,,,,,,,,,,,,
,,046391,001,B,2023-06-20_16h43.44.278,Unsyncopated1,2022.2.5,MacIntel,59.95563283,,,space,13.1703,,,,,,,,,,,,,,
,,046391,001,B,2023-06-20_16h43.44.278,Unsyncopated1,2022.2.5,MacIntel,59.95563283,,,,,space,6.1396,,,,,,,,,,,,
,,046391,001,B,2023-06-20_16h43.44.278,Unsyncopated1,2022.2.5,MacIntel,59.95563283,,,,,,,space,3.1133,,,,,,,,,,
,,046391,001,B,2023-06-20_16h43.44.278,Unsyncopated1,2022.2.5,MacIntel,59.95563283,,,,,,,,,space,48.8426,,,,,,,,
,,046391,001,B,2023-06-20_16h43.44.278,Unsyncopated1,2022.2.5,MacIntel,59.95563283,,,,,,,,,,,space,14.6241,,,,,,
,,046391,001,B,2023-06-20_16h43.44.278,Unsyncopated1,2022.2.5,MacIntel,59.95563283,,,,,,,,,,,,,space,12.4061,,,,
,,046391,001,B,2023-06-20_16h43.44.278,Unsyncopated1,2022.2.5,MacIntel,59.95563283,,,,,,,,,,,,,,,space,1.6708,,
,,046391,001,B,2023-06-20_16h43.44.278,Unsyncopated1,2022.2.5,MacIntel,59.95563283,,,,,,,,,,,,,,,,,space,1.6503
