key_resp1.keys,key_resp1.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_10.keys,key_resp_10.rt,key_ressp2.keys,key_ressp2.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp1_2.keys,key_resp1_2.rt,key_resp1_3.keys,key_resp1_3.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_18.keys,key_resp_18.rt,key_resp_7.keys,key_resp_7.rt,key_resp1_4.keys,key_resp1_4.rt,syllable_catch.keys,syllable_catch.rt,audio1.thisRepN,audio1.thisTrialN,audio1.thisN,audio1.thisIndex,audio1.ran,dirs,time,Conj_unsync_online.thisRepN,Conj_unsync_online.thisTrialN,Conj_unsync_online.thisN,Conj_unsync_online.thisIndex,Conj_unsync_online.ran,cond,ord,colour,key_resp4.keys,key_resp4.rt,key_resp_4.keys,key_resp_4.rt,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,security_1_7.rt,Conj_unsync_test.thisRepN,Conj_unsync_test.thisTrialN,Conj_unsync_test.thisN,Conj_unsync_test.thisIndex,Conj_unsync_test.ran,test,key_resp_13.keys,key_resp_13.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,seq,online_dir,test_dir,audio_offline,dirs_what,key_resp6.keys,key_resp6.rt,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name
space,5.5557,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,space,11.5243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,space,15.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,space,2.9897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,space,4.0918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,space,6.5675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,space,13.0929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,space,22.6738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,space,6.0273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,space,1.7328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,space,10.4914,space,2.4894,space,8.5021,space,1.4411,0,0,0,0,1,Online_whenL3//cGA8.888.wav,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,Online_whenL3//cGA9.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,Online_whenL3//cGA10.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,Online_whenL3//cGA11.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,21,1,ga,80:84,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,space,2.3684,0,0,0,2,1,Online_whenL3//bÑE34.1776.wav,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3693,0,1,1,3,1,Online_whenL3//bÑE35.888.wav,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,1,Online_whenL3//bÑE32.1110.wav,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,1,Online_whenL3//bÑE33.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,30,1,ñe,68:72,orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Online_whenL3//dJI29.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,space,2.5546,0,1,1,2,1,Online_whenL3//dJI30.1998.wav,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,1,Online_whenL3//dJI31.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,1,Online_whenL3//dJI28.444.wav,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,24,1,ji,132:136,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,1,Online_whenL3//dJI6.1332.wav,1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,Online_whenL3//dJI5.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,1,Online_whenL3//dJI7.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4963,0,3,3,0,1,Online_whenL3//dJI4.0.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,20,1,ji,108:112,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Online_whenL3//aMO21.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,Online_whenL3//aMO20.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,space,1.5292,0,2,2,3,1,Online_whenL3//aMO23.1110.wav,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,space,2.6663,0,3,3,2,1,Online_whenL3//aMO22.1998.wav,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
