dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11
Online_conjL1_un//a.pu.ki0.888.1776.wav,1776,888,ni,zu,ne,sil,pu,fa,ze,sil1,ki,ri,sil2
Online_conjL1_un//a.pu.ki1.888.1776.wav,1776,888,ro,fa,ne,sil,pu,lu,cho,sil1,ki,ri,sil2
Online_conjL1_un//a.pu.ki2.none.none.wav,none,none,ta,ro,ne,sil,be,lu,fo,sil1,la,ri,sil2
Online_conjL1_un//a.pu.ki3.none.none.wav,none,none,ta,fo,lu,sil,be,ze,cho,sil1,ri,la,sil2
Online_conjL1_un//a.pu.ki4.888.1776.wav,1776,888,ni,cho,fa,sil,pu,fo,ne,sil1,ki,la,sil2
Online_conjL1_un//a.pu.ki5.0.888.wav,888,0,pu,lu,zu,sil,ki,fo,la,sil1,cho,ze,sil2
Online_conjL1_un//a.pu.ki6.0.888.wav,888,0,pu,cho,fa,sil,ki,zu,ni,sil1,ne,ro,sil2
Online_conjL1_un//a.pu.ki7.0.888.wav,888,0,pu,la,fa,sil,ki,ri,ze,sil1,lu,ro,sil2
Online_conjL1_un//a.pu.ki8.0.888.wav,888,0,pu,ne,ro,sil,ki,ze,zu,sil1,la,ni,sil2
Online_conjL1_un//a.pu.ki9.0.888.wav,888,0,pu,ne,fo,sil,ki,fa,ni,sil1,ze,ri,sil2
Online_conjL1_un//a.pu.ki10.none.none.wav,none,none,ta,ze,ni,sil,be,zu,fa,sil1,ro,fo,sil2
Online_conjL1_un//a.pu.ki11.0.888.wav,888,0,pu,fa,fo,sil,ki,ze,lu,sil1,ri,ni,sil2
Online_conjL1_un//a.pu.ki12.none.none.wav,none,none,ri,ze,fo,sil,ta,lu,ro,sil1,be,ne,sil2
Online_conjL1_un//a.pu.ki13.none.none.wav,none,none,ta,ne,ro,sil,be,lu,fa,sil1,zu,la,sil2
Online_conjL1_un//a.pu.ki14.none.none.wav,none,none,ne,ze,ni,sil,ta,zu,fo,sil1,be,lu,sil2
Online_conjL1_un//a.pu.ki15.888.1776.wav,1776,888,cho,ri,ne,sil,pu,ze,ni,sil1,ki,zu,sil2
Online_conjL1_un//a.pu.ki16.none.none.wav,none,none,ze,zu,ni,sil,ta,lu,ne,sil1,be,ri,sil2
Online_conjL1_un//a.pu.ki17.888.1776.wav,1776,888,ne,ro,ze,sil,pu,fo,lu,sil1,ki,zu,sil2
Online_conjL1_un//a.pu.ki18.none.none.wav,none,none,zu,ro,ze,sil,ta,fa,cho,sil1,be,ne,sil2
Online_conjL1_un//a.pu.ki19.none.none.wav,none,none,ze,fo,cho,sil,ta,fa,lu,sil1,be,ne,sil2
Online_conjL1_un//a.pu.ki20.none.none.wav,none,none,ta,ni,ze,sil,be,ri,ne,sil1,cho,fo,sil2
Online_conjL1_un//a.pu.ki21.888.1776.wav,1776,888,zu,ri,ni,sil,pu,lu,fa,sil1,ki,ro,sil2
Online_conjL1_un//a.pu.ki22.888.1776.wav,1776,888,la,ze,zu,sil,pu,ne,cho,sil1,ki,ri,sil2
Online_conjL1_un//a.pu.ki23.0.888.wav,888,0,pu,la,ze,sil,ki,cho,fo,sil1,ne,zu,sil2
Online_conjL1_un//a.pu.ki24.none.none.wav,none,none,ta,lu,ri,sil,be,la,zu,sil1,fa,ze,sil2
Online_conjL1_un//a.pu.ki25.none.none.wav,none,none,ta,lu,la,sil,be,cho,ro,sil1,ni,zu,sil2
Online_conjL1_un//a.pu.ki26.888.1776.wav,1776,888,zu,ze,cho,sil,pu,ni,ne,sil1,ki,fo,sil2
