dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11
Online_whenL3//a.mo0.222.wav,222,222,do,mo,fu,sil,le,ji,gu,sil1,ka,ñe,sil2
Online_whenL3//a.mo1.888.wav,888,888,do,ka,fu,sil,mo,ñe,le,sil1,ko,ji,sil2
Online_whenL3//a.mo2.none.wav,none,none,ko,li,ji,sil,je,sa,ñe,sil1,gu,ka,sil2
Online_whenL3//a.mo3.none.wav,none,none,chu,sa,gu,sil,ka,le,je,sil1,ga,di,sil2
Online_whenL3//a.mo4.1776.wav,1776,1776,ga,gu,sa,sil,ko,je,li,sil1,mo,do,sil2
Online_whenL3//a.mo5.222.wav,222,222,ko,mo,ji,sil,le,di,ga,sil1,li,sa,sil2
Online_whenL3//a.mo6.444.wav,444,444,fu,ko,mo,sil,chu,le,ji,sil1,ka,je,sil2
Online_whenL3//a.mo7.none.wav,none,none,di,ko,ñe,sil,fu,je,gu,sil1,sa,ji,sil2
Online_whenL3//a.mo8.1776.wav,1776,1776,je,ga,ka,sil,le,li,ñe,sil1,mo,gu,sil2
Online_whenL3//a.mo9.1332.wav,1332,1332,fu,sa,do,sil,ji,gu,mo,sil1,ka,je,sil2
Online_whenL3//a.mo10.none.wav,none,none,di,ko,le,sil,chu,fu,ka,sil1,sa,ji,sil2
Online_whenL3//a.mo11.none.wav,none,none,chu,li,ñe,sil,je,fu,le,sil1,ko,di,sil2
Online_whenL3//a.mo12.none.wav,none,none,je,ji,ñe,sil,le,do,gu,sil1,ga,sa,sil2
Online_whenL3//a.mo13.1776.wav,1776,1776,chu,ji,do,sil,gu,le,fu,sil1,mo,ka,sil2
Online_whenL3//a.mo14.none.wav,none,none,di,ko,ga,sil,gu,do,sa,sil1,ka,chu,sil2
Online_whenL3//a.mo15.1110.wav,1110,1110,ga,le,do,sil,ñe,mo,fu,sil1,di,li,sil2
Online_whenL3//a.mo16.1998.wav,1998,1998,li,je,gu,sil,ka,chu,le,sil1,ji,mo,sil2
Online_whenL3//a.mo17.none.wav,none,none,ji,ko,sa,sil,di,ka,do,sil1,chu,ga,sil2
Online_whenL3//a.mo18.888.wav,888,888,je,do,fu,sil,mo,sa,ga,sil1,di,le,sil2
Online_whenL3//a.mo19.none.wav,none,none,fu,ka,ko,sil,chu,sa,do,sil1,li,le,sil2
Online_whenL3//a.mo20.1776.wav,1776,1776,ga,fu,ko,sil,li,sa,je,sil1,mo,ka,sil2
Online_whenL3//a.mo21.none.wav,none,none,ñe,gu,chu,sil,di,ko,le,sil1,fu,li,sil2
Online_whenL3//a.mo22.none.wav,none,none,je,ga,ka,sil,ñe,chu,fu,sil1,li,ji,sil2
Online_whenL3//a.mo23.none.wav,none,none,ga,sa,je,sil,ko,fu,li,sil1,di,chu,sil2
Online_whenL3//a.mo24.1998.wav,1998,1998,ji,le,do,sil,li,chu,fu,sil1,gu,mo,sil2
Online_whenL3//a.mo25.none.wav,none,none,sa,ji,ga,sil,do,ñe,je,sil1,di,ka,sil2
Online_whenL3//a.mo26.none.wav,none,none,di,li,ka,sil,chu,ji,je,sil1,do,ñe,sil2
Online_whenL3//a.mo27.888.wav,888,888,fu,le,ka,sil,mo,ko,gu,sil1,chu,di,sil2
Online_whenL3//a.mo28.0.wav,0,0,mo,sa,ka,sil,ga,ko,fu,sil1,gu,do,sil2
Online_whenL3//a.mo29.none.wav,none,none,sa,di,je,sil,li,ko,ji,sil1,ga,ñe,sil2
Online_whenL3//a.mo30.none.wav,none,none,ga,li,gu,sil,chu,le,fu,sil1,ka,ñe,sil2
Online_whenL3//a.mo31.1776.wav,1776,1776,li,gu,ñe,sil,ga,ji,le,sil1,mo,je,sil2
Online_whenL3//a.mo32.none.wav,none,none,ji,gu,je,sil,ga,do,ñe,sil1,chu,le,sil2
Online_whenL3//a.mo33.0.wav,0,0,mo,fu,di,sil,ga,do,le,sil1,ñe,ka,sil2
Online_whenL3//a.mo34.222.wav,222,222,do,mo,ga,sil,chu,ka,ji,sil1,di,ko,sil2
Online_whenL3//a.mo35.none.wav,none,none,ji,je,ka,sil,ga,fu,ñe,sil1,sa,li,sil2
Online_whenL3//b.ñe0.222.wav,222,222,ka,ñe,gu,sil,ga,le,chu,sil1,fu,do,sil2
Online_whenL3//b.ñe1.1998.wav,1998,1998,ka,ko,je,sil,ga,gu,di,sil1,sa,ñe,sil2
Online_whenL3//b.ñe2.888.wav,888,888,ji,li,do,sil,ñe,mo,ga,sil1,le,fu,sil2
Online_whenL3//b.ñe3.none.wav,none,none,chu,ko,mo,sil,li,je,ji,sil1,fu,do,sil2
Online_whenL3//b.ñe4.1998.wav,1998,1998,ka,di,ga,sil,ko,gu,je,sil1,mo,ñe,sil2
Online_whenL3//b.ñe5.1110.wav,1110,1110,li,ko,je,sil,fu,ñe,gu,sil1,ga,sa,sil2
Online_whenL3//b.ñe6.444.wav,444,444,ga,ka,ñe,sil,mo,ji,li,sil1,do,fu,sil2
Online_whenL3//b.ñe7.1998.wav,1998,1998,ji,je,sa,sil,ka,ga,di,sil1,gu,ñe,sil2
Online_whenL3//b.ñe8.none.wav,none,none,le,do,ko,sil,gu,mo,fu,sil1,ji,sa,sil2
Online_whenL3//b.ñe9.1110.wav,1110,1110,fu,do,ka,sil,li,ñe,chu,sil1,ko,ji,sil2
Online_whenL3//b.ñe10.none.wav,none,none,ga,fu,le,sil,chu,ko,ka,sil1,mo,je,sil2
Online_whenL3//b.ñe11.none.wav,none,none,ka,ji,li,sil,ko,ga,sa,sil1,mo,di,sil2
Online_whenL3//b.ñe12.none.wav,none,none,ji,li,je,sil,mo,ka,chu,sil1,fu,ko,sil2
Online_whenL3//b.ñe13.none.wav,none,none,chu,ka,le,sil,ko,je,mo,sil1,fu,di,sil2
Online_whenL3//b.ñe14.1776.wav,1776,1776,do,je,ko,sil,fu,gu,chu,sil1,ñe,ka,sil2
Online_whenL3//b.ñe15.none.wav,none,none,je,di,li,sil,ji,ko,sa,sil1,mo,ga,sil2
Online_whenL3//b.ñe16.1110.wav,1110,1110,do,je,li,sil,gu,ñe,sa,sil1,ji,ko,sil2
Online_whenL3//b.ñe17.1998.wav,1998,1998,fu,ga,ka,sil,ji,chu,di,sil1,je,ñe,sil2
