Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s2,r1,0,Online_whatL3//c.gu.je12.none.none.wav,ga,di,li,sil,chu,do,fu,sil2,mo,le,sil1,['-'],,,none,none,,,,gu,3,testWhatL3Uns//cat_viol.r2.s1.0.wav,1.0,what,unsyncopated,b,s1,no_rule,cat,L3,z,0.9219,6.0,0.0,2.1001,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,Nada,66.0,yes
1,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s1,r2,1,Online_whatL3//c.gu.je13.1332.222.wav,ñe,je,fu,sil,sa,ko,gu,sil1,di,li,sil2,['catch'],[1.8712000000011813],[1.8712000000011813],1.332,no_beat,0.5392000000011812,0.5392000000011812,"[""space""]",gu,3,testWhatL3Uns//r1.s2.0.wav,1.0,what,unsyncopated,a,s2,rule,rule,L3,z,0.6839,5.0,1.0,2.0163,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,2. En mi tiempo libre apenas escucho música.,5.0,Nada,66.0,yes
2,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s2,r1,2,Online_whatL3//c.gu.je14.none.none.wav,do,ga,fu,sil2,chu,li,ji,sil,mo,ka,sil1,['false alarm'],[1.2941999999992504],[1.2941999999992504],none,none,,,"[""space""]",gu,3,testWhatL3Uns//r1.s1.1.wav,1.0,what,unsyncopated,a,s1,rule,rule,L3,m,1.8845,3.0,0.0,1.1391,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,3. Algunas canciones me ponen los pelos de punta,4.0,Nada,66.0,yes
3,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s2,r1,3,Online_whatL3//c.gu.je15.1332.0.wav,je,ji,ko,sil,chu,ka,gu,sil2,mo,ga,sil1,['catch'],[1.706200000001104],[1.706200000001104],1.332,no_beat,0.3742000000011038,0.3742000000011038,"[""space""]",gu,3,testWhatL3Uns//dep_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,dep,L3,z,1.7052,2.0,0.0,0.6503,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,4. La música me hace compañía cuando estoy solo,4.0,Nada,66.0,yes
4,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s1,r1,4,Online_whatL3//a.chu.mo18.0.888.wav,chu,le,ko,sil,mo,ka,li,sil1,gu,je,sil2,['catch'],[1.3536999999992076],[1.3536999999992076],0.888,beat,0.4656999999992076,0.4656999999992076,"[""space""]",mo,2,testWhatL3Uns//dep_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,dep,L3,m,1.3424,6.0,1.0,1.0355,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,5. No me apetece bailar ni con la música que más me gusta,4.0,Nada,66.0,yes
5,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s2,r2,5,Online_whatL3//a.chu.mo19.none.none.wav,ga,gu,ji,sil,ñe,ko,je,sil2,sa,li,sil1,['-'],,,none,none,,,,mo,2,testWhatL3Uns//cat_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,cat,L3,z,1.9168,2.0,0.0,0.8176,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,6. La música me hace conectar con la gente,3.0,Nada,66.0,yes
6,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s1,r1,6,Online_whatL3//a.chu.mo16.0.1110.wav,chu,ga,gu,sil2,mo,li,fu,sil,do,ka,sil1,['catch'],[1.422300000000746],[1.422300000000746],1.11,no_beat,0.3123000000007458,0.3123000000007458,"[""space""]",mo,2,testWhatL3Uns//r2.s1.1.wav,1.0,what,unsyncopated,b,s1,rule,rule,L3,m,0.3731,5.0,0.0,1.2676,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,7. Me informo sobre la música que me gusta.,3.0,Nada,66.0,yes
7,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s2,r1,7,Online_whatL3//a.chu.mo17.888.1998.wav,je,le,ji,sil,chu,do,fu,sil2,mo,li,sil1,['catch'],[2.374500000000012],[2.374500000000012],1.998,no_beat,0.3765000000000118,0.3765000000000118,"[""space""]",mo,2,testWhatL3Uns//r1.s1.2.wav,1.0,what,unsyncopated,a,s1,rule,rule,L3,m,1.42,4.0,0.0,0.8499,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,8.Me emociono escuchando ciertas canciones.,4.0,Nada,66.0,yes
8,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s1,r2,8,Online_whatL3//b.ñe.sa21.0.1110.wav,ñe,do,li,sil2,sa,je,ko,sil,le,ga,sil1,['miss'],,,0.0,beat,,,,ñe,1,testWhatL3Uns//r2.s1.0.wav,1.0,what,unsyncopated,b,s1,rule,rule,L3,z,1.6321,3.0,1.0,0.6336,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,9.La música me tranquiliza y me relaja.,3.0,Nada,66.0,yes
9,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s1,r1,9,Online_whatL3//b.ñe.sa20.none.none.wav,chu,li,do,sil,mo,je,gu,sil1,ga,le,sil2,['-'],,,none,none,,,,ñe,1,testWhatL3Uns//dep_viol.r2.s1.0.wav,1.0,what,unsyncopated,b,s1,no_rule,dep,L3,z,1.5703,5.0,0.0,0.5387,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,10.La música me hace bailar,3.0,Nada,66.0,yes
